Polskie Gornictwo Naftowe;PLPGNIG00014;2594008YSYXYOTBSQL93;PGNIG
PREMIER OIL;GB00BMBVGQ36;213800YPC42DYBKVPF97;PREOG
PTT Public Company Limited;TH0646010Z00;549300QOGMPTKB6W7G56;PTTGR
Reliance Industries Limited;INE002A01018;5493003UOETFYRONLG31;01I0G
Repsol, S.A.;ES0173516115;BSYCX13Y0NOTV14V9N85;REPOG
Samsung Engineering Co., Ltd.;KR7028050003;988400HDAY5KIVHGZ188;SV4KK
Saras S.p.A.;IT0000433307;5299005KJSU2AQUJUH84;SARAS
SAUDI ARABIAN OIL COMPANY;SA14TG012N13;5586006WD91QHB7J4X50;SAUDG
Saudi Basic Industries Corporation;SA0007879121;;SABIG
Saudi Electricity Company;SA0007879550;549300FXO4ZXUIAXGP41;S4DMG
SBM Offshore N.V.;NL0000360618;549300RDGCRYZ5QE6513;SBMEJ
Schlumberger Limited;AN8068571086;213800ZUA17OK3QLGM62;SCLHG
Secure Energy Services Inc.;CA81373C1023;549300EZKELHYBQO9X11;SESGG
Sembcorp Industries Ltd;SG1R50925390;254900J0FF14U6TPQM96;SEMBG
Sempra;US8168511090;PBBKGKLRK5S5C0Y4T545;5YXPG
Shell plc;GB00BP6MXD84;21380068P1DRHMJ8KU70;SHEHG
Sinopec Shanghai Petrochemical Company Limited;CNE1000004C8;5299008RZ0G8ACZ8ZU65;SNPCG
SK Inc.;KR7034730002;988400GMME8AOAFMDK34;0MD0G
Snam S.p.A.;IT0003153415;8156002278562044AF79;SNAMG
TAURON Polska Energia S.A.;PLTAURN00011;259400NAPDFBOTNCRL54;TARNG
TechnipFMC plc;GB00BDSFG982;549300D5I93QWCJTCK36;TEHPG
Teck Resources Limited;CA8787422044;T8KI5SQ2JRWHL7XY0E11;TCKRG
The Weir Group PLC;GB0009465807;549300KDR56WHY9I3D10;WEIRG
TotalEnergies SE;FR0000120271;529900S21EQ1BO4ESM68;5TOFG
Tupras-Turkiye Petrol Rafine;TRATUPRS91E8;789000RCNG97UV50EE03;TKPRG
Uniper SE;DE000UNSE026;549300UXRTWGIBZQ4J67;3UNIP
Vista Energy, S.A.B. de C.V.;MX01VI0C0006;549300UDOHP7958KNS89;VOGYG
YPF SA;ARP9897X1319;549300OJNHV3OX22E409;YPFAG
ZE PAK SA;PLZEPAK00012;259400T6CRXYOG6H8U09;ZAPAK
