0010;0020;0030;0040;0050;0055;0060;0065;0070;0075;0080;0090;0100;0110;0120;0130;0140;0150;0160;0170;0180;0190;0200;0205;0210;0220
47;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO ACTIVOBANK PORTUGAL SA;BANCO ACTIVOBANK PORTUGAL SA;529900GYIFZ0EH50GF42;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1208,85;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
48;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);FUNDO DE INVESTIMENTO MOBILIARIO ABERTO DO MERCADO MONETARIO - CA MONE;FUNDO DE INVESTIMENTO MOBILIARIO ABERTO DO MERCADO MONETARIO - CA MONE;7400741462;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);994652,35;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
49;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANIF - BANCO INTERNACIONAL DO FUNCHAL S.A.- EM LIQUIDACAO;BANIF - BANCO INTERNACIONAL DO FUNCHAL S.A.- EM LIQUIDACAO;7400880199;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);608237,7;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
50;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);VOLKSWAGEN BANK GMBH - SUCURSAL EM PORTUGAL;VOLKSWAGEN BANK GMBH - SUCURSAL EM PORTUGAL;7401000162;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);8397617,02;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
51;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);EUROBANK PRIVATE BANK LUXEMBOURG SA;EUROBANK PRIVATE BANK LUXEMBOURG SA;529900HB1NOUF0UAGK18;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);317,3;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
52;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NEDBANK MOCAMBIQUE S.A.;NEDBANK MOCAMBIQUE S.A.;7401088947;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);28360,13;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
53;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NEDBANK MOCAMBIQUE S.A.;NEDBANK MOCAMBIQUE S.A.;7401088947;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);55711,89299;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
54;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);ALLFUNDS BANK INTERNATIONAL SA;ALLFUNDS BANK INTERNATIONAL SA;7401331507;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);0,220731;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
55;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);ALLFUNDS BANK INTERNATIONAL SA;ALLFUNDS BANK INTERNATIONAL SA;7401331507;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);0,130909;0;0;Pound Sterling;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
56;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);ALLFUNDS BANK INTERNATIONAL SA;ALLFUNDS BANK INTERNATIONAL SA;7401331507;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);0,11;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
57;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);UNICAJA BANCO S.A.;UNICAJA BANCO S.A.;7401346435;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);26638,40625;0;0;Pound Sterling;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
58;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);UNICAJA BANCO S.A.;UNICAJA BANCO S.A.;7401346435;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1108956,42;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
59;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);TOYOTA KREDITBANK GMBH - SUCURSAL EM PORTUGAL;TOYOTA KREDITBANK GMBH - SUCURSAL EM PORTUGAL;7401448186;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);2969255,23;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
60;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CTT, S.A.;BANCO CTT, S.A.;7401460446;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);0,01;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
61;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BARCLAYS BANK PLC;BARCLAYS BANK PLC;7401475252;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);0,45;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
62;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);MERCANTILE BANK LIMITED;MERCANTILE BANK LIMITED;7401496096;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);0,002215;0;0;Rand;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
63;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANKINTER S.A. - SUCURSAL EM PORTUGAL;BANKINTER S.A. - SUCURSAL EM PORTUGAL;7401519052;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);4011,34;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
64;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BARCLAYS BANK IRELAND PUBLIC LIMITED COMPANY SUCURSAL EM PORTUGAL;BARCLAYS BANK IRELAND PUBLIC LIMITED COMPANY SUCURSAL EM PORTUGAL;7401810796;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);630209,58;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
65;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);IBERCAJA BANCO S.A. - ESCRITORIO DE REPRESENTACAO;IBERCAJA BANCO S.A. - ESCRITORIO DE REPRESENTACAO;7401881341;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);861743,36;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
66;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);IMGA MONEY MARKET USD - FUNDO DE INVESTIMENTO MOBILIARIO ABERTO DO MER;IMGA MONEY MARKET USD - FUNDO DE INVESTIMENTO MOBILIARIO ABERTO DO MER;7402043691;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);0,008829;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
67;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);COMMERZBANK AG;COMMERZBANK AG;8000175573;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1795,87;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
68;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);DEXIA BANQUE INTERNATIONALE A LUXEMBURG SA;DEXIA BANQUE INTERNATIONALE A LUXEMBURG SA;8000176607;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);73507,52;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
69;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NATIONAL WESTMINSTER BANK PLC;NATIONAL WESTMINSTER BANK PLC;8000376682;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);9988,32532;0;0;Pound Sterling;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
70;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NATIONAL WESTMINSTER BANK PLC;NATIONAL WESTMINSTER BANK PLC;8000376682;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);8498680,81;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
71;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA ECONOMICA DA MISERICORDIA DE ANGRA DO HEROISMO;CAIXA ECONOMICA DA MISERICORDIA DE ANGRA DO HEROISMO;549300GR6DZ97DTA7913;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);3879538,66;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
72;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA CREDITO AGRICOLA MUTUO ACORES,CRL;CAIXA CREDITO AGRICOLA MUTUO ACORES,CRL;8004998687;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1030228,83;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
73;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANK OF NOVA SCOTIA;BANK OF NOVA SCOTIA;8006823295;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);415895,5812;0;0;Canadian Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
74;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);UNICREDIT BANK AG;UNICREDIT BANK AG;8006850481;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);916525,73;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
75;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CREDIT AGRICOLE INDOSUEZ-PARIS;CREDIT AGRICOLE INDOSUEZ-PARIS;8008765651;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);30000;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
76;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CREDIT IMMOBILIER HOTELIER-CASABLANCA;CREDIT IMMOBILIER HOTELIER-CASABLANCA;8018977006;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);46788,34;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
77;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BNP PARIBAS PERSONAL FINANCE, S.A. - SUCURSAL EM PORTUGAL;BNP PARIBAS PERSONAL FINANCE, S.A. - SUCURSAL EM PORTUGAL;8020455952;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);171282,91;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
78;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CAIXA GERAL ANGOLA S.A.;BANCO CAIXA GERAL ANGOLA S.A.;8023082113;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);484064,34;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
79;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CAIXA GERAL ANGOLA S.A.;BANCO CAIXA GERAL ANGOLA S.A.;8023082113;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);10846,84768;0;0;Yen;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
80;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CAIXA GERAL ANGOLA S.A.;BANCO CAIXA GERAL ANGOLA S.A.;8023082113;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);3367,27608;0;0;Swedish Krona;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
81;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CAIXA GERAL ANGOLA S.A.;BANCO CAIXA GERAL ANGOLA S.A.;8023082113;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);2184,249689;0;0;Rand;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
82;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CAIXA GERAL ANGOLA S.A.;BANCO CAIXA GERAL ANGOLA S.A.;8023082113;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);21766,81582;0;0;Pound Sterling;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
83;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CAIXA GERAL ANGOLA S.A.;BANCO CAIXA GERAL ANGOLA S.A.;8023082113;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1174,100993;0;0;Norwegian Krone;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
84;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CAIXA GERAL ANGOLA S.A.;BANCO CAIXA GERAL ANGOLA S.A.;8023082113;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);46012,28342;0;0;Swiss Franc;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
85;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CAIXA GERAL ANGOLA S.A.;BANCO CAIXA GERAL ANGOLA S.A.;8023082113;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);3522766,581;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
86;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CAIXA GERAL ANGOLA S.A.;BANCO CAIXA GERAL ANGOLA S.A.;8023082113;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);11361,78698;0;0;Canadian Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
87;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO INTERNACIONAL S.TOME PRINCIPE;BANCO INTERNACIONAL S.TOME PRINCIPE;8025147342;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);280645,5412;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
88;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO INTERNACIONAL S.TOME PRINCIPE;BANCO INTERNACIONAL S.TOME PRINCIPE;8025147342;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);139079,5;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
89;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BNP PARIBAS PERSONAL FINANCE, S.A. - SUCURSAL EM PORTUGAL;BNP PARIBAS PERSONAL FINANCE, S.A. - SUCURSAL EM PORTUGAL;8026521302;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);3851957,76;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
90;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO COMERCIAL ATLANTICO,SA;BANCO COMERCIAL ATLANTICO,SA;8027004005;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);670420,94;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
91;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BPI S.A.;BANCO BPI S.A.;3DM5DPGI3W6OU6GJ4N92;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);40645,74;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
92;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);ONEY BANK - SUCURSAL EM PORTUGAL;ONEY BANK - SUCURSAL EM PORTUGAL;8028858476;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);138063,43;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
93;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO L. J. CARREGOSA, S.A.;BANCO L. J. CARREGOSA, S.A.;213800UFLAA5SS55IZ10;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);18606799,05;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
94;r0160 - System (operator) liabilities < 7 days (BRRD art. 44/2/f);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANK OF NEW YORK MELLON;BANK OF NEW YORK MELLON;HPFHU0OQ28E4N0NFVK49;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);40810,25;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
95;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA CREDITO AGRICOLA MUTUO ESTREMOZ MONFORTE ARRONCHES;CAIXA CREDITO AGRICOLA MUTUO ESTREMOZ MONFORTE ARRONCHES;8037034699;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);7673,05;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
