0010;0020;0030;0040;0050;0061;0071;0075;0080;0085;0090;0095;0100;0110;0120;0130;0140;0150
21;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00RT8D;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;RIO SUL - CENTRO COMERCIAL, S.A.;8007537441;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;UNITED KINGDOM;2;18050,06;0;0;18050,06
22;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);FTHK;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;FLEXIDOOR-PORTOES SECCIONADOS AUTOMATISMOS SA;984500ABZ74A0U6F6E37;LEI code;PORTUGAL;FALSE;PORTUGAL;2;7485,98;0;0;7485,98
23;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00TL1P;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;TECNO-PAN, S.A.;984500BD13D56542FB51;LEI code;PORTUGAL;FALSE;PORTUGAL;2;6301,97;0;0;6301,97
24;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00LO10;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;L. M. PERFIS - INDUSTRIA DE PERFIS E PORTAS S.A.;984500EE93D0556F0T29;LEI code;PORTUGAL;FALSE;PORTUGAL;2;8020,7;0;0;8020,7
25;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);CQ_BSP_AAIS;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;AMORIM CORK S.A.;213800RQXBBZ6KSP1I72;LEI code;PORTUGAL;FALSE;PORTUGAL;8;21793,52;0;0;21793,52
26;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);0000008390;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;D PEDRO V INVESTIMENTOS IMOBILIARIOS DPII S.A.;2549001UG2UURXWCHD19;LEI code;PORTUGAL;FALSE;PORTUGAL;2;30609,85;0;0;30609,85
27;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);0000001095;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;J.SOARES CORREIA-ARMAZENS DE FERRO S.A.;549300ZVFLK0LQRO1E88;LEI code;PORTUGAL;FALSE;PORTUGAL;4;9348,66;0;0;9348,66
28;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00IVPP;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;INDORAMA VENTURES PORTUGAL PTA UNIPESSOAL LDA;254900SGAWN8T6Q05761;LEI code;PORTUGAL;FALSE;UNITED KINGDOM;4;279171,42;0;0;279171,42
29;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);IVOG;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;IRMAOS VILA NOVA S.A.;6221038349;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;PORTUGAL;14;56828,71;0;0;56828,71
30;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);5100276161;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;IMPORCELOS, S.A.;529900YGSXGLNXRNQA84;LEI code;PORTUGAL;FALSE;PORTUGAL;8;348,77;0;0;348,77
31;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);Z2N8;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;CORK SUPPLY PORTUGAL, S.A.;54930039BIEV13N2UT70;LEI code;PORTUGAL;FALSE;PORTUGAL;2;89876,39;0;0;89876,39
32;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);I11R;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;IBERSOL, SGPS S.A.;549300ZG20XRKSRKZ238;LEI code;PORTUGAL;FALSE;PORTUGAL;2;18628,42;0;0;18628,42
33;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);4GDF;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;JOAO VIOLAS, FILHO LDA;213800D1LMEDOB7DRD57;LEI code;PORTUGAL;FALSE;PORTUGAL;2;3638,26;0;0;3638,26
34;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00DCUL;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;DECISAO CRUCIAL UNIPESSOAL LDA;213800S63VIWR5BC1M95;LEI code;PORTUGAL;FALSE;UNITED KINGDOM;2;79567,89;0;0;79567,89
