0010;0020;0030;0035;0040;0045;0047;0050;0060;0070;0080;0090;0100
32;Rank 9 - Ranking in insolvency (master scale);962304820353330;BANCO SANTANDER S.A.  SUCURSAL FRANKFURT;0000046859;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;13507,8;No;0;Default
33;Rank 9 - Ranking in insolvency (master scale);962304820364500;BANCO SANTANDER S.A.  SUCURSAL FRANKFURT;0000046859;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;138390;No;0;Default
34;Rank 9 - Ranking in insolvency (master scale);962304870355340;BANCO SANTANDER S.A.  SUCURSAL FRANKFURT;0000046859;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;78095;No;0;Default
35;Rank 9 - Ranking in insolvency (master scale);162304820739370;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;34895,84;No;0;Default
36;Rank 9 - Ranking in insolvency (master scale);162304840046380;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1458,43;No;0;Default
37;Rank 9 - Ranking in insolvency (master scale);162304840071020;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;24000;No;0;Default
38;Rank 9 - Ranking in insolvency (master scale);162304840738540;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;6500;No;0;Default
39;Rank 9 - Ranking in insolvency (master scale);162304848005620;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;83520,78;No;0;Default
40;Rank 9 - Ranking in insolvency (master scale);162304880023020;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;106218,01;No;0;Default
41;Rank 9 - Ranking in insolvency (master scale);162304880044030;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;4278,93;No;0;Default
42;Rank 9 - Ranking in insolvency (master scale);162304880071650;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1819,99;No;0;Default
43;Rank 9 - Ranking in insolvency (master scale);162304880071770;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;8762,34;No;0;Default
44;Rank 9 - Ranking in insolvency (master scale);162304888017770;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;131297,36;No;0;Default
45;Rank 9 - Ranking in insolvency (master scale);162304888017860;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;3942,03;No;0;Default
46;Rank 9 - Ranking in insolvency (master scale);262304820005540;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;14500;No;0;Default
47;Rank 9 - Ranking in insolvency (master scale);262304820008010;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;4762;No;0;Default
48;Rank 9 - Ranking in insolvency (master scale);262304820009380;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;64000;No;0;Default
49;Rank 9 - Ranking in insolvency (master scale);262304820009390;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;10600;No;0;Default
50;Rank 9 - Ranking in insolvency (master scale);262304820011790;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;400000;No;0;Default
51;Rank 9 - Ranking in insolvency (master scale);262304820018460;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;581,81;No;0;Default
52;Rank 9 - Ranking in insolvency (master scale);262304820019220;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;3852,53;No;0;Default
53;Rank 9 - Ranking in insolvency (master scale);262304820019340;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;10000;No;0;Default
54;Rank 9 - Ranking in insolvency (master scale);262304820019730;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;93411,25;No;0;Default
55;Rank 9 - Ranking in insolvency (master scale);262304820020190;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;50000;No;0;Default
56;Rank 9 - Ranking in insolvency (master scale);262304820021210;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;5970,12;No;0;Default
57;Rank 9 - Ranking in insolvency (master scale);262304820021220;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;50000;No;0;Default
58;Rank 9 - Ranking in insolvency (master scale);262304820021840;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;289,05;No;0;Default
59;Rank 9 - Ranking in insolvency (master scale);262304820021910;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;401,13;No;0;Default
60;Rank 9 - Ranking in insolvency (master scale);262304820022550;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;70940,85;No;0;Default
61;Rank 9 - Ranking in insolvency (master scale);262304820022630;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;17544,07;No;0;Default
62;Rank 9 - Ranking in insolvency (master scale);262304820022810;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;831977,2;No;0;Default
63;Rank 9 - Ranking in insolvency (master scale);262304820022820;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;548087,1;No;0;Default
64;Rank 9 - Ranking in insolvency (master scale);262304820022840;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;7774,54;No;0;Default
65;Rank 9 - Ranking in insolvency (master scale);262304820022850;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;2407128,3;No;0;Default
66;Rank 9 - Ranking in insolvency (master scale);262304820022860;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;94010,87;No;0;Default
67;Rank 9 - Ranking in insolvency (master scale);262304820023080;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;177407,97;No;0;Default
68;Rank 9 - Ranking in insolvency (master scale);262304820023210;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;20626,84;No;0;Default
69;Rank 9 - Ranking in insolvency (master scale);262304820023840;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;403793;No;0;Default
70;Rank 9 - Ranking in insolvency (master scale);262304820023910;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;984196,48;No;0;Default
71;Rank 9 - Ranking in insolvency (master scale);262304820024790;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;59966,67;No;0;Default
72;Rank 9 - Ranking in insolvency (master scale);262304820024990;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;262577,24;No;0;Default
73;Rank 9 - Ranking in insolvency (master scale);262304820025250;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;36352,52;No;0;Default
74;Rank 9 - Ranking in insolvency (master scale);262304820025400;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;200;No;0;Default
75;Rank 9 - Ranking in insolvency (master scale);262304820025410;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1750;No;0;Default
76;Rank 9 - Ranking in insolvency (master scale);262304820025720;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;21935,66;No;0;Default
77;Rank 9 - Ranking in insolvency (master scale);262304820026620;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;131735,04;No;0;Default
78;Rank 9 - Ranking in insolvency (master scale);262304820026870;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;51065,91;No;0;Default
79;Rank 9 - Ranking in insolvency (master scale);262304820026980;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;51610,1;No;0;Default
80;Rank 9 - Ranking in insolvency (master scale);262304820027080;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;66663,97;No;0;Default
81;Rank 9 - Ranking in insolvency (master scale);262304820027220;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;7966,67;No;0;Default
82;Rank 9 - Ranking in insolvency (master scale);362304820767670;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1066,44;No;0;Default
83;Rank 9 - Ranking in insolvency (master scale);362304820777020;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;122513,44;No;0;Default
84;Rank 9 - Ranking in insolvency (master scale);362304820798420;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;5714,29;No;0;Default
85;Rank 9 - Ranking in insolvency (master scale);362304820801250;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1077186,02;No;0;Default
86;Rank 9 - Ranking in insolvency (master scale);362304820801370;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;11097,88;No;0;Default
