0010;0020;0030;0035;0040;0045;0047;0050;0060;0070;0080;0090;0100
150;Rank 9 - Ranking in insolvency (master scale);962304820288710;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;81816,9;No;0;Default
151;Rank 9 - Ranking in insolvency (master scale);962304820290020;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1457,7;No;0;Default
152;Rank 9 - Ranking in insolvency (master scale);962304820291450;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;542339,29;No;0;Default
153;Rank 9 - Ranking in insolvency (master scale);962304820292740;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;122180;No;0;Default
154;Rank 9 - Ranking in insolvency (master scale);962304820295820;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;8500;No;0;Default
155;Rank 9 - Ranking in insolvency (master scale);962304820295900;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;60000;No;0;Default
156;Rank 9 - Ranking in insolvency (master scale);962304820296300;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;4013233,53;No;0;Default
157;Rank 9 - Ranking in insolvency (master scale);962304820300780;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;196823;No;0;Default
158;Rank 9 - Ranking in insolvency (master scale);962304820300790;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;49205,75;No;0;Default
159;Rank 9 - Ranking in insolvency (master scale);962304820302710;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;23182,56;No;0;Default
160;Rank 9 - Ranking in insolvency (master scale);962304820304500;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;11750;No;0;Default
161;Rank 9 - Ranking in insolvency (master scale);962304820306080;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;9314,65;No;0;Default
162;Rank 9 - Ranking in insolvency (master scale);962304820306090;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;16098,1;No;0;Default
163;Rank 9 - Ranking in insolvency (master scale);962304820308120;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;150000;No;0;Default
164;Rank 9 - Ranking in insolvency (master scale);962304820309020;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;30000;No;0;Default
165;Rank 9 - Ranking in insolvency (master scale);962304820309270;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;137855,19;No;0;Default
166;Rank 9 - Ranking in insolvency (master scale);962304820309460;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;61590;No;0;Default
167;Rank 9 - Ranking in insolvency (master scale);962304820309470;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;61590;No;0;Default
168;Rank 9 - Ranking in insolvency (master scale);962304820309480;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;61590;No;0;Default
169;Rank 9 - Ranking in insolvency (master scale);962304820311230;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;32563,06;No;0;Default
170;Rank 9 - Ranking in insolvency (master scale);962304820317020;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;6289,15;No;0;Default
171;Rank 9 - Ranking in insolvency (master scale);962304820319600;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;20000;No;0;Default
172;Rank 9 - Ranking in insolvency (master scale);962304820320590;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;19304,92;No;0;Default
173;Rank 9 - Ranking in insolvency (master scale);962304820321330;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;26286,96;No;0;Default
174;Rank 9 - Ranking in insolvency (master scale);962304820324540;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;12725;No;0;Default
175;Rank 9 - Ranking in insolvency (master scale);962304820324550;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;76350;No;0;Default
176;Rank 9 - Ranking in insolvency (master scale);962304820325080;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;100509,73;No;0;Default
177;Rank 9 - Ranking in insolvency (master scale);962304820326030;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;41400;No;0;Default
178;Rank 9 - Ranking in insolvency (master scale);962304820336320;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;400000;No;0;Default
179;Rank 9 - Ranking in insolvency (master scale);962304820336330;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;100000;No;0;Default
180;Rank 9 - Ranking in insolvency (master scale);962304820338290;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;11000;No;0;Default
181;Rank 9 - Ranking in insolvency (master scale);962304820338320;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;100000;No;0;Default
182;Rank 9 - Ranking in insolvency (master scale);962304820340800;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;130650;No;0;Default
183;Rank 9 - Ranking in insolvency (master scale);962304820344260;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;13078,13;No;0;Default
184;Rank 9 - Ranking in insolvency (master scale);962304820358120;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;30248,14;No;0;Default
185;Rank 9 - Ranking in insolvency (master scale);962304820358420;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;19740;No;0;Default
186;Rank 9 - Ranking in insolvency (master scale);962304820358470;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;121908,9;No;0;Default
187;Rank 9 - Ranking in insolvency (master scale);962304820358480;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;80000;No;0;Default
188;Rank 9 - Ranking in insolvency (master scale);962304820359300;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;6366,2;No;0;Default
189;Rank 9 - Ranking in insolvency (master scale);962304820364210;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;72727,27;No;0;Default
190;Rank 9 - Ranking in insolvency (master scale);962304820368340;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;35877,12;No;0;Default
191;Rank 9 - Ranking in insolvency (master scale);962304830362520;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;234971,63;No;0;Default
192;Rank 9 - Ranking in insolvency (master scale);962304830364570;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;112755,52;No;0;Default
193;Rank 9 - Ranking in insolvency (master scale);962304870323050;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;86527,21;No;0;Default
194;Rank 9 - Ranking in insolvency (master scale);962304870326550;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;49034,78;No;0;Default
195;Rank 9 - Ranking in insolvency (master scale);962304870327990;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1829;No;0;Default
196;Rank 9 - Ranking in insolvency (master scale);962304870343130;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;50000;No;0;Default
197;Rank 9 - Ranking in insolvency (master scale);962304870352020;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;40000;No;0;Default
198;Rank 9 - Ranking in insolvency (master scale);962304870352140;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;196694,1;No;0;Default
199;Rank 9 - Ranking in insolvency (master scale);962304870356080;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;29415,06;No;0;Default
200;Rank 9 - Ranking in insolvency (master scale);962304870356900;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;142500;No;0;Default
201;Rank 9 - Ranking in insolvency (master scale);962304820255470;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1937500;No;0;Default
202;Rank 9 - Ranking in insolvency (master scale);962304820295750;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;500000;No;0;Default
203;Rank 9 - Ranking in insolvency (master scale);962304820306840;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;87675,97;No;0;Default
204;Rank 9 - Ranking in insolvency (master scale);962304820309840;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;990000;No;0;Default
205;Rank 9 - Ranking in insolvency (master scale);962304820334350;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;2200000;No;0;Default
206;Rank 9 - Ranking in insolvency (master scale);962304820341720;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1695760;No;0;Default
207;Rank 9 - Ranking in insolvency (master scale);962304820345580;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;3540000;No;0;Default
208;Rank 9 - Ranking in insolvency (master scale);962304820345590;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;2200000;No;0;Default
209;Rank 9 - Ranking in insolvency (master scale);962304820345600;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;2200000;No;0;Default
210;Rank 9 - Ranking in insolvency (master scale);962304820345610;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1000000;No;0;Default
211;Rank 9 - Ranking in insolvency (master scale);962304820357170;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;12784,45;No;0;Default
212;Rank 9 - Ranking in insolvency (master scale);962304820365740;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1328475,49;No;0;Default
213;Rank 9 - Ranking in insolvency (master scale);962304870364230;BANCO SANTANDER, SA  SUCURSAL LONDRES;7400930664;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;82850,7;No;0;Default
214;Rank 9 - Ranking in insolvency (master scale);962304820334150;BANK ZACHODNI WBK SA;7401536276;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;218756,96;No;0;Default
215;Rank 9 - Ranking in insolvency (master scale);262304840017910;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;6330800;No;0;Default
216;Rank 9 - Ranking in insolvency (master scale);262304840017920;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;836960;No;0;Default
217;Rank 9 - Ranking in insolvency (master scale);262304840018240;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;625360;No;0;Default
218;Rank 9 - Ranking in insolvency (master scale);262304840018380;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;598400;No;0;Default
219;Rank 9 - Ranking in insolvency (master scale);262304840018430;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;3319696,15;No;0;Default
220;Rank 9 - Ranking in insolvency (master scale);262304840018520;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1021060;No;0;Default
221;Rank 9 - Ranking in insolvency (master scale);262304840018720;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;988160;No;0;Default
222;Rank 9 - Ranking in insolvency (master scale);262304840018800;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;330640;No;0;Default
223;Rank 9 - Ranking in insolvency (master scale);262304840018860;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1011960;No;0;Default
224;Rank 9 - Ranking in insolvency (master scale);262304840018920;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1829436,3;No;0;Default
225;Rank 9 - Ranking in insolvency (master scale);262304840019020;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;4010029,83;No;0;Default
226;Rank 9 - Ranking in insolvency (master scale);262304840019270;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1414613,7;No;0;Default
227;Rank 9 - Ranking in insolvency (master scale);262304840019290;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;653158,82;No;0;Default
228;Rank 9 - Ranking in insolvency (master scale);262304840019300;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;2124595,2;No;0;Default
229;Rank 9 - Ranking in insolvency (master scale);262304840019410;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1676940;No;0;Default
230;Rank 9 - Ranking in insolvency (master scale);262304840019570;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;469057,4;No;0;Default
231;Rank 9 - Ranking in insolvency (master scale);262304840019610;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;58050;No;0;Default
232;Rank 9 - Ranking in insolvency (master scale);262304840019810;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1274010,46;No;0;Default
233;Rank 9 - Ranking in insolvency (master scale);262304840019830;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1902712,5;No;0;Default
234;Rank 9 - Ranking in insolvency (master scale);262304840019840;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;123680;No;0;Default
235;Rank 9 - Ranking in insolvency (master scale);262304840019910;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;67560;No;0;Default
236;Rank 9 - Ranking in insolvency (master scale);262304840019980;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1115200;No;0;Default
237;Rank 9 - Ranking in insolvency (master scale);262304840019990;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1020752,32;No;0;Default
238;Rank 9 - Ranking in insolvency (master scale);262304840020020;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;761021,25;No;0;Default
239;Rank 9 - Ranking in insolvency (master scale);262304840020050;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;113430,4;No;0;Default
240;Rank 9 - Ranking in insolvency (master scale);262304840020120;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1665520;No;0;Default
241;Rank 9 - Ranking in insolvency (master scale);262304840020780;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;126400;No;0;Default
242;Rank 9 - Ranking in insolvency (master scale);262304840021030;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;48977,29;No;0;Default
243;Rank 9 - Ranking in insolvency (master scale);262304840021200;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;6695913,5;No;0;Default
244;Rank 9 - Ranking in insolvency (master scale);262304840021310;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;408000;No;0;Default
245;Rank 9 - Ranking in insolvency (master scale);262304840022010;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;393600;No;0;Default
246;Rank 9 - Ranking in insolvency (master scale);262304840022210;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;1607762,4;No;0;Default
247;Rank 9 - Ranking in insolvency (master scale);262304840022330;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;976500;No;0;Default
248;Rank 9 - Ranking in insolvency (master scale);262304840022960;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;90400;No;0;Default
249;Rank 9 - Ranking in insolvency (master scale);262304840025960;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;341257,5;No;0;Default
250;Rank 9 - Ranking in insolvency (master scale);262304840026320;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;3470;No;0;Default
251;Rank 9 - Ranking in insolvency (master scale);262304880020300;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;341076,37;No;0;Default
252;Rank 9 - Ranking in insolvency (master scale);262304880023930;CONSULTEAM - CONSULTORES DE GESTAO, LDA;5100262318;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;286250,77;No;0;Default
253;Rank 9 - Ranking in insolvency (master scale);262304840015490;MAPFRE SANTANDER PORTUGAL - COMPANHIA DE SEGUROS S.A.;213800DS888O1NMGEJ90;LEI code;True;PORTUGAL;Counterparty;598557,48;No;0;Default
254;Rank 9 - Ranking in insolvency (master scale);962304880000810;NOVIMOVEST - FUNDO DE INVESTIMENTO IMOBILIARIO;7400685089;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;1518171,19;No;0;Default
255;Rank 9 - Ranking in insolvency (master scale);962304880000820;NOVIMOVEST - FUNDO DE INVESTIMENTO IMOBILIARIO;7400685089;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;309094,09;No;0;Default
256;Rank 9 - Ranking in insolvency (master scale);962304880165360;NOVIMOVEST - FUNDO DE INVESTIMENTO IMOBILIARIO;7400685089;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;432010,44;No;0;Default
257;Rank 9 - Ranking in insolvency (master scale);962304880186890;NOVIMOVEST - FUNDO DE INVESTIMENTO IMOBILIARIO;7400685089;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;159195,55;No;0;Default
258;Rank 9 - Ranking in insolvency (master scale);962304820320660;SANTANDER BANK NATIONAL ASSOCIATION;7401474691;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;34116,19283;No;0;Default
259;Rank 9 - Ranking in insolvency (master scale);962304820252720;SANTANDER CONSUMER BANK AG - MOENCHENGLADBACH;0000235696;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;22206,5;No;0;Default
260;Rank 9 - Ranking in insolvency (master scale);962304820365800;SANTANDER CONSUMER BANK AG - MOENCHENGLADBACH;0000235696;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;298725;No;0;Default
261;Rank 9 - Ranking in insolvency (master scale);362304841016010;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;9001910086;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;86327,03;No;0;Default
262;Rank 9 - Ranking in insolvency (master scale);962304840171880;SANTANDER TOTTA SEGUROS - COMPANHIA DE SEGUROS DE VIDA S.A.;54930006K2IUPA083C07;LEI code;True;PORTUGAL;Counterparty;8000;No;0;Default
263;Rank 9 - Ranking in insolvency (master scale);962304820254330;SANTANDER UK, PLC;7400416271;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;704880;No;0;Default
264;Rank 9 - Ranking in insolvency (master scale);399904875248090;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;448,92;No;0;Default
265;Rank 9 - Ranking in insolvency (master scale);599904815306350;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;139,66;No;0;Default
266;Rank 9 - Ranking in insolvency (master scale);599904815306400;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;49,88;No;0;Default
267;Rank 9 - Ranking in insolvency (master scale);599904815306540;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;4539,06;No;0;Default
268;Rank 9 - Ranking in insolvency (master scale);599904815306690;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;79,81;No;0;Default
269;Rank 9 - Ranking in insolvency (master scale);599904815306730;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;79,81;No;0;Default
270;Rank 9 - Ranking in insolvency (master scale);599904815306880;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;79,81;No;0;Default
271;Rank 9 - Ranking in insolvency (master scale);599904815306920;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;897,84;No;0;Default
272;Rank 9 - Ranking in insolvency (master scale);599904815307070;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;74,82;No;0;Default
273;Rank 9 - Ranking in insolvency (master scale);599904815307110;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;74,82;No;0;Default
274;Rank 9 - Ranking in insolvency (master scale);599904815307260;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;374,1;No;0;Default
275;Rank 9 - Ranking in insolvency (master scale);599904815307300;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;49,88;No;0;Default
276;Rank 9 - Ranking in insolvency (master scale);599904815307450;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;49,88;No;0;Default
277;Rank 9 - Ranking in insolvency (master scale);599904815307500;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;49,88;No;0;Default
278;Rank 9 - Ranking in insolvency (master scale);599904815307640;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;90,28;No;0;Default
279;Rank 9 - Ranking in insolvency (master scale);599904815307790;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;24939,89;No;0;Default
280;Rank 9 - Ranking in insolvency (master scale);599904833903700;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;141322;No;0;Default
281;Rank 9 - Ranking in insolvency (master scale);599904836417420;TOTTAURBE-EMPRESA DE ADMINISTRACAO E CONSTRUCOES, S.A.;8000391312;Type of identifier, other than LEI or MFI code;True;PORTUGAL;Counterparty;3491,59;No;0;Default
