0010;0020;0025;0030;0035;0040;0045;0050;0060;0070;0080;0090;0100;0110;0115;0120;0130;0140
1;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0004;M0004;Type of identifier, other than LEI or MFI code;PORTUGAL;Canadian Dollar;39263678,6;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
2;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0005;M0005;Type of identifier, other than LEI or MFI code;PORTUGAL;Danish Krone;44735,40932;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
3;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0007;M0007;Type of identifier, other than LEI or MFI code;PORTUGAL;Yen;10019,01322;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
4;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0009;M0009;Type of identifier, other than LEI or MFI code;PORTUGAL;Norwegian Krone;1355518,713;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
5;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0011;M0011;Type of identifier, other than LEI or MFI code;PORTUGAL;Rand;135845,5625;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
6;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0012;M0012;Type of identifier, other than LEI or MFI code;PORTUGAL;Swedish Krona;511625,3736;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
7;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0014;M0014;Type of identifier, other than LEI or MFI code;PORTUGAL;Swiss Franc;3101301,597;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
8;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0016;M0016;Type of identifier, other than LEI or MFI code;PORTUGAL;Pound Sterling;34862363,24;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
9;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0018;M0018;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;410015044,3;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
10;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0020;M0020;Type of identifier, other than LEI or MFI code;PORTUGAL;Zloty;35,89;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
