0010;0020;0025;0030;0035;0040;0045;0050;0060;0070;0080;0090;0100;0110;0115;0120;0130;0140
11;r0110 - Covered deposits (BRRD art. 44/2/a);c001x   - Households;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0022;M0022;Type of identifier, other than LEI or MFI code;PORTUGAL;Euro;18661654386;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
12;r0110 - Covered deposits (BRRD art. 44/2/a);c002x   - Micro & SME;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0023;M0023;Type of identifier, other than LEI or MFI code;PORTUGAL;Australian Dollar;68123,87;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
13;r0110 - Covered deposits (BRRD art. 44/2/a);c002x   - Micro & SME;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0024;M0024;Type of identifier, other than LEI or MFI code;PORTUGAL;Canadian Dollar;230765,9867;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
14;r0110 - Covered deposits (BRRD art. 44/2/a);c002x   - Micro & SME;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0027;M0027;Type of identifier, other than LEI or MFI code;PORTUGAL;Yen;4,45;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
15;r0110 - Covered deposits (BRRD art. 44/2/a);c002x   - Micro & SME;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0030;M0030;Type of identifier, other than LEI or MFI code;PORTUGAL;Swedish Krona;63,15;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
16;r0110 - Covered deposits (BRRD art. 44/2/a);c002x   - Micro & SME;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0031;M0031;Type of identifier, other than LEI or MFI code;PORTUGAL;Swiss Franc;93903,1691;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
17;r0110 - Covered deposits (BRRD art. 44/2/a);c002x   - Micro & SME;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0032;M0032;Type of identifier, other than LEI or MFI code;PORTUGAL;Pound Sterling;473001,5267;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
18;r0110 - Covered deposits (BRRD art. 44/2/a);c002x   - Micro & SME;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0033;M0033;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;6300739,894;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
19;r0110 - Covered deposits (BRRD art. 44/2/a);c002x   - Micro & SME;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0034;M0034;Type of identifier, other than LEI or MFI code;PORTUGAL;Zloty;0,47683843;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
20;r0110 - Covered deposits (BRRD art. 44/2/a);c002x   - Micro & SME;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0035;M0035;Type of identifier, other than LEI or MFI code;PORTUGAL;Euro;2327876718;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
21;r0110 - Covered deposits (BRRD art. 44/2/a);c003x   - Corporates;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0037;M0037;Type of identifier, other than LEI or MFI code;PORTUGAL;Canadian Dollar;196652,7542;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
22;r0110 - Covered deposits (BRRD art. 44/2/a);c003x   - Corporates;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0043;M0043;Type of identifier, other than LEI or MFI code;PORTUGAL;Rand;2201,65;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
23;r0110 - Covered deposits (BRRD art. 44/2/a);c003x   - Corporates;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0044;M0044;Type of identifier, other than LEI or MFI code;PORTUGAL;Swedish Krona;635,12;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
24;r0110 - Covered deposits (BRRD art. 44/2/a);c003x   - Corporates;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0045;M0045;Type of identifier, other than LEI or MFI code;PORTUGAL;Swiss Franc;1096,28;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
25;r0110 - Covered deposits (BRRD art. 44/2/a);c003x   - Corporates;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0046;M0046;Type of identifier, other than LEI or MFI code;PORTUGAL;Pound Sterling;121543,8289;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
26;r0110 - Covered deposits (BRRD art. 44/2/a);c003x   - Corporates;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0047;M0047;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;2165809,254;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
27;r0110 - Covered deposits (BRRD art. 44/2/a);c003x   - Corporates;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0048;M0048;Type of identifier, other than LEI or MFI code;PORTUGAL;Euro;384951701,8;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
28;r0110 - Covered deposits (BRRD art. 44/2/a);c003x   - Corporates;Rank 14 - Ranking in insolvency (master scale);PTXSTJOM0050;M0050;Type of identifier, other than LEI or MFI code;PORTUGAL;Zloty;97578,73;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
29;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0084;M0084;Type of identifier, other than LEI or MFI code;PORTUGAL;Australian Dollar;5868133,814;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
30;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0086;M0086;Type of identifier, other than LEI or MFI code;PORTUGAL;Canadian Dollar;33589314,89;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
31;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0087;M0087;Type of identifier, other than LEI or MFI code;PORTUGAL;Danish Krone;916038,1827;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
32;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0089;M0089;Type of identifier, other than LEI or MFI code;PORTUGAL;Yen;642428,0746;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
33;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0091;M0091;Type of identifier, other than LEI or MFI code;PORTUGAL;Norwegian Krone;4482514,746;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
34;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0093;M0093;Type of identifier, other than LEI or MFI code;PORTUGAL;Rand;180292,6753;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
35;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0094;M0094;Type of identifier, other than LEI or MFI code;PORTUGAL;Swedish Krona;639679,1561;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
36;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0096;M0096;Type of identifier, other than LEI or MFI code;PORTUGAL;Swiss Franc;5798303,418;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
37;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0098;M0098;Type of identifier, other than LEI or MFI code;PORTUGAL;Pound Sterling;44567732,69;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
38;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM00100;00100;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;553100505,7;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
39;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0102;M0102;Type of identifier, other than LEI or MFI code;PORTUGAL;Zloty;523093,247;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
40;r0310 - Deposits, not covered but preferential (BRRD art. 108);c001x   - Households;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0104;M0104;Type of identifier, other than LEI or MFI code;PORTUGAL;Euro;4683110718;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
41;r0310 - Deposits, not covered but preferential (BRRD art. 108);c002x   - Micro & SME;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0106;M0106;Type of identifier, other than LEI or MFI code;PORTUGAL;Canadian Dollar;605219,9162;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
42;r0310 - Deposits, not covered but preferential (BRRD art. 108);c002x   - Micro & SME;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0107;M0107;Type of identifier, other than LEI or MFI code;PORTUGAL;Yuan Renminbi;6819,018167;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
43;r0310 - Deposits, not covered but preferential (BRRD art. 108);c002x   - Micro & SME;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0110;M0110;Type of identifier, other than LEI or MFI code;PORTUGAL;Norwegian Krone;27,568877;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
44;r0310 - Deposits, not covered but preferential (BRRD art. 108);c002x   - Micro & SME;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0113;M0113;Type of identifier, other than LEI or MFI code;PORTUGAL;Swiss Franc;441714,7091;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
45;r0310 - Deposits, not covered but preferential (BRRD art. 108);c002x   - Micro & SME;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0114;M0114;Type of identifier, other than LEI or MFI code;PORTUGAL;Pound Sterling;4513872,015;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
46;r0310 - Deposits, not covered but preferential (BRRD art. 108);c002x   - Micro & SME;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0115;M0115;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;109186163,5;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
47;r0310 - Deposits, not covered but preferential (BRRD art. 108);c002x   - Micro & SME;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0116;M0116;Type of identifier, other than LEI or MFI code;PORTUGAL;Zloty;2222,408149;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
48;r0310 - Deposits, not covered but preferential (BRRD art. 108);c002x   - Micro & SME;Rank 13 - Ranking in insolvency (master scale);PTXSTJOM0117;M0117;Type of identifier, other than LEI or MFI code;PORTUGAL;Euro;4686223677;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
49;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0118;M0118;Type of identifier, other than LEI or MFI code;PORTUGAL;Australian Dollar;37549,86872;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
50;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0119;M0119;Type of identifier, other than LEI or MFI code;PORTUGAL;Canadian Dollar;4331805,746;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
51;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0120;M0120;Type of identifier, other than LEI or MFI code;PORTUGAL;Yuan Renminbi;10785,44901;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
52;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0121;M0121;Type of identifier, other than LEI or MFI code;PORTUGAL;Danish Krone;34,905331;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
53;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0122;M0122;Type of identifier, other than LEI or MFI code;PORTUGAL;Yen;601443,1103;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
54;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0124;M0124;Type of identifier, other than LEI or MFI code;PORTUGAL;Norwegian Krone;9076870,132;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
55;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0126;M0126;Type of identifier, other than LEI or MFI code;PORTUGAL;Swedish Krona;1208246,852;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
56;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0127;M0127;Type of identifier, other than LEI or MFI code;PORTUGAL;Swiss Franc;1408609,228;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
57;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0128;M0128;Type of identifier, other than LEI or MFI code;PORTUGAL;Pound Sterling;25068677,51;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
58;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0129;M0129;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;81414771,7;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
59;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0130;M0130;Type of identifier, other than LEI or MFI code;PORTUGAL;Euro;4110170296;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
60;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0132;M0132;Type of identifier, other than LEI or MFI code;PORTUGAL;Zloty;2549683,686;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
61;r0320 - Deposits, not covered and not preferential;c004x   - Institutions;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0133;M0133;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;181003815,5;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
62;r0320 - Deposits, not covered and not preferential;c004x   - Institutions;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0135;M0135;Type of identifier, other than LEI or MFI code;PORTUGAL;Euro;31005183,29;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
63;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0137;M0137;Type of identifier, other than LEI or MFI code;PORTUGAL;Australian Dollar;1122836,958;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
64;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0139;M0139;Type of identifier, other than LEI or MFI code;PORTUGAL;Danish Krone;19063,82793;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
65;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0141;M0141;Type of identifier, other than LEI or MFI code;PORTUGAL;Yen;11876622,24;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
66;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0143;M0143;Type of identifier, other than LEI or MFI code;PORTUGAL;Mexican Peso;355,165703;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
67;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0145;M0145;Type of identifier, other than LEI or MFI code;PORTUGAL;Norwegian Krone;41285,56483;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
68;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0147;M0147;Type of identifier, other than LEI or MFI code;PORTUGAL;Swedish Krona;47449,03564;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
69;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0149;M0149;Type of identifier, other than LEI or MFI code;PORTUGAL;Swiss Franc;1037809,515;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
70;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0151;M0151;Type of identifier, other than LEI or MFI code;PORTUGAL;Pound Sterling;4445934,212;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
71;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0152;M0152;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;2891550,141;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
72;r0320 - Deposits, not covered and not preferential;c005x   - Other financial corporations;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0154;M0154;Type of identifier, other than LEI or MFI code;PORTUGAL;Zloty;21753754,09;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
73;r0320 - Deposits, not covered and not preferential;c006x   - Insurance firms & pension funds;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0155;M0155;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;78720157,42;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
74;r0320 - Deposits, not covered and not preferential;c006x   - Insurance firms & pension funds;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0157;M0157;Type of identifier, other than LEI or MFI code;PORTUGAL;Euro;1032240444;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
75;r0320 - Deposits, not covered and not preferential;c008x   - Government, central banks & supranationals;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0158;M0158;Type of identifier, other than LEI or MFI code;PORTUGAL;Yen;177516,0301;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
76;r0320 - Deposits, not covered and not preferential;c008x   - Government, central banks & supranationals;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0159;M0159;Type of identifier, other than LEI or MFI code;PORTUGAL;Swiss Franc;114645,3296;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
77;r0320 - Deposits, not covered and not preferential;c008x   - Government, central banks & supranationals;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0160;M0160;Type of identifier, other than LEI or MFI code;PORTUGAL;Pound Sterling;2957593,707;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
78;r0320 - Deposits, not covered and not preferential;c008x   - Government, central banks & supranationals;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0161;M0161;Type of identifier, other than LEI or MFI code;PORTUGAL;US Dollar;12353378,28;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
79;r0320 - Deposits, not covered and not preferential;c008x   - Government, central banks & supranationals;Rank 12 - Ranking in insolvency (master scale);PTXSTJOM0162;M0162;Type of identifier, other than LEI or MFI code;PORTUGAL;Euro;867497847,6;0;0;Unsecured;0;0;2021-12-31;2022-01-03;0
