0010;0020;0030;0040;0050;0060;0065;0070;0080;0090;0100;0110;0120;0130;0140
23;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;24579194,47;Euro;2021-12-31;2099-01-31;No;0
24;r0390 - Non-financial liabilities;c002x   - Micro & SME;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;17825904,09;Euro;2021-12-31;2099-01-31;No;0
25;r0390 - Non-financial liabilities;c002x   - Micro & SME;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;21400987,18;Euro;2021-12-31;2099-01-31;No;0
26;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;323358,41;Euro;2021-12-31;2099-01-31;No;0
27;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;1355432,28;Euro;2021-12-31;2099-01-31;No;0
28;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;3947070,86;Euro;2021-12-31;2099-01-31;No;0
29;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;16524,87;Euro;2021-12-31;2099-01-31;No;0
30;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;908457,81;Euro;2021-12-31;2099-01-31;No;0
31;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;21406,21;Euro;2021-12-31;2099-01-31;No;0
32;r0390 - Non-financial liabilities;c001x   - Households;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;57961834,41;Euro;2021-12-31;2099-01-31;No;0
