0010;0020;0021;0030;0040;0045;0050;0053;0055;0057;0060;0070;0080;0090;0100;0110;0120;0130;0140;0150;0160;0170;0175;0180;0190
268;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904815675210;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,02;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
269;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904830543900;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,12;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
270;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904815760970;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,11;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
271;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840018750;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,13;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
272;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816132210;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,14;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
273;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816263950;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,21;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
274;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816261800;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,73;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
275;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840019290;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,59;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
276;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816262660;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,04;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
277;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);034600000000000;GAMMA SOC TITULARIZACAO CREDITOS, SA;2101355138;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);182288,62;-1,71;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
278;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816263420;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,19;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
279;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840019570;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,43;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
280;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816264290;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,18;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
281;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816530910;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,01;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
282;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816265050;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,11;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
283;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840019980;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,01;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
284;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816265620;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,39;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
285;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840025820;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,49;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
286;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816326740;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,03;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
287;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840020660;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,3;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
288;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816718100;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,01;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
289;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904830658490;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,17;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
290;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904830058070;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,5;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
291;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840021080;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,61;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
292;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840020780;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,11;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
293;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);035200000000000;HIPOTOTTA 5 PLC;7400987939;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);372985,8;-3,82;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
294;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840021090;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,4;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
295;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840021820;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,11;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
296;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840021690;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,6;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
297;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904831386240;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,95;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
298;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840021880;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,34;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
299;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840022240;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,64;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
300;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840022010;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,36;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
301;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);662600000000000;GAMMA SOC TITULARIZACAO CREDITOS, SA;2101355138;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1609011,18;911,59;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
302;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840022260;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,73;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
303;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840022520;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,32;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
304;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840022340;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,54;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
305;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904832419600;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,36;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
306;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840022570;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,81;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
307;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840022770;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,29;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
308;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840022700;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);2,01;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
309;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);035900000000000;HIPOTOTTA 5 PLC;7400987939;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);170105,78;72,27;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
310;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840022790;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);29,77;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
311;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840023200;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,59;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
312;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840023120;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,77;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
313;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904832899890;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,2;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
314;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840023280;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,9;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
315;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840023760;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,72;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
316;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904832793400;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,22;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
317;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);340000000000000;HIPOTOTTA Nº 4 PLC;7400615058;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);198355,48;67,52;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
318;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904832838320;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,15;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
319;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840024230;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,79;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
320;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904833172470;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,12;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
321;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);862304840002100;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);14,16;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
322;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904833360250;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,23;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
323;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840025040;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,93;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
324;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904835462910;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,88;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
325;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);036800000000000;GAMMA SOC TITULARIZACAO CREDITOS, SA;2101355138;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);7908,95;-0,02;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
326;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904891725540;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);106,38;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
327;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840025730;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);11,7;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
328;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);862304840003370;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);2,88;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
329;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);862304840037070;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);5,68;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
330;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);862304840007780;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,26;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
331;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840026280;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,05;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
332;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840026080;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);2,15;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
333;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);319500000000000;HIPOTOTTA Nº 4 PLC;7400615058;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);52115,01;59,51;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
334;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840026320;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,02;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
335;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840026910;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,72;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
336;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840026710;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,4;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
337;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304880022870;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,21;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
338;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840026990;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,97;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
339;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);036900000000000;GAMMA SOC TITULARIZACAO CREDITOS, SA;2101355138;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);160701,38;20,78;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
340;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);026400000000000;HIPOTOTTA 5 PLC;7400987939;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);229,75;0;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
