0010;0020;0021;0030;0040;0045;0050;0053;0055;0057;0060;0070;0080;0090;0100;0110;0120;0130;0140;0150;0160;0170;0175;0180;0190
16;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840024000;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,3;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
17;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);962304820354640;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);3,87;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
18;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);336500000000000;HIPOTOTTA Nº 4 PLC;7400615058;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);57011,18;73,68;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
19;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);862304880011980;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,33;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
20;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);368200000000000;HIPOTOTTA Nº 4 PLC;7400615058;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);46427,45;84,54;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
21;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304820021230;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,67;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
22;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904815741130;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,01;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
23;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840020120;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,51;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
24;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840022210;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1,46;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
25;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);599904833903700;TottaUrbe;8000391312;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,13;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
26;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840026200;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,64;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
27;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);037200000000000;HIPOTOTTA 5 PLC;7400987939;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);33730,76;1,88;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
28;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);962304820167570;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);2,33;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
29;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);023100000000000;HIPOTOTTA Nº 4 PLC;7400615058;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);875504,01;294,46;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
30;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);962304820309470;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);64,44;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
31;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);352000000000000;HIPOTOTTA Nº 4 PLC;7400615058;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);121877,32;-8,87;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
32;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);862304880014160;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,18;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
33;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);023700000000000;GAMMA SOC TITULARIZACAO CREDITOS, SA;2101355138;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);114383,25;7,41;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
34;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);382000000000000;HIPOTOTTA Nº 4 PLC;7400615058;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);84716,01;26,79;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
35;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);399904811578720;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,22;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
36;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);588804815653900;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,32;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
37;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904815285000;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,03;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
38;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840018660;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);5,27;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
39;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904816263040;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,05;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
40;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);599904830126190;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,33;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
41;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840021030;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,22;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
42;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);262304840022330;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,89;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
43;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840022750;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);6,3;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
44;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);025900000000000;HIPOTOTTA Nº 4 PLC;7400615058;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);334627,98;142,5;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
45;r0390 - Non-financial liabilities;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);599904836417420;TottaUrbe;8000391312;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);7,31;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
46;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304840026660;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);3,42;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
47;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);262304820024990;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0,83;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
48;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);317800000000000;GAMMA SOC TITULARIZACAO CREDITOS, SA;2101355138;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);61217,96;-7,36;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
49;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);962304820250510;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;Parent;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);30;0;Euro;2021-12-31;2022-01-03;2099-01-31;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
50;r0120 - Secured liabilities - collateralized part (BRRD art. 44/2/b);c005x   - Other financial corporations;Rank 20 - Ranking in insolvency (master scale);038000000000000;HIPOTOTTA 5 PLC;7400987939;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);198492,75;11,74;Euro;2021-12-31;2022-01-03;2065-12-14;Secured;0;N/A;Non-structured/Vanilla;0;No;0
