0052;0062;0082;0092;0102;0122;0132;0142
3924940408;303055824,7;7763551068;0;0;36121983098;903585162,6;0
0;0;0;0;0;21874267362;732268,55;0
3022942876;0;7410242000;0;0;12601201476;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;;;;153249041,2;;0
0;0;0;0;0;40810,25;0;0
;;;;;232925108,6;;0
0;0;0;0;0;4137337,41;0;0
;;353309068,2;;;353309068,2;;
0;0;0;0;0;0;0;0
901997531,8;303055824,7;;;;902852894;902852894;
1339483931;1123705129;904356962,8;0;313304738,3;17609767811;454629773,8;0
0;0;0;0;0;10134398471;0;0
0;0;0;0;0;10134398471;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
1246480174;1110960601;883100981;0;0;6680007857;194821841,3;0
1246480174;1110960601;883100981;0;0;6680007857;194821841,3;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
281776158,1;0;0;0;0;899438252,3;640643504,8;0
281776158,1;0;0;0;0;899438252,3;640643504,8;0
281776158,1;0;0;0;0;899438252,3;640643504,8;0
36658488,45;0;0;0;0;214716046,6;201610742,8;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
8209741,61;8209741,61;0;0;0;8209741,61;8209741,61;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
8209741,61;8209741,61;0;0;0;8209741,61;8209741,61;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
48135526,68;4534786,219;21255981,83;0;313304738,3;572435695,4;49987448,12;0
0;0;0;0;0;0;0;0
;;;;;4183085632;;
;;;;;3796182773;;
1433311801;0;0;0;0;1447905116;1447905116;0
135000000;0;0;0;0;135000000;135000000;0
;;;;;0;;
0;0;0;0;0;0;0;0
;;;;;386902858,6;;
320000000;0;0;0;0;327599000;320013869,6;0
;;;;;57914836540;;
;;;;;58044042823;;
