0010;0020;0030;0040;0050;0055;0060;0065;0070;0080;0090;0100;0110
1;c008x   - Government, central banks & supranationals;Rank 9 - Ranking in insolvency (master scale);8004236181;Single Contract;BANCO CABO VERDE-PRAIA;8004236181;Type of identifier, other than LEI or MFI code;CAPE VERDE;PORTUGAL;1;8986928,8;8986928,8
2;c008x   - Government, central banks & supranationals;Rank 9 - Ranking in insolvency (master scale);549300DTUYXVMJXZNY75;Single Contract;BANCO DE PORTUGAL;54930037NWG1CCVQHF93;LEI code;PORTUGAL;PORTUGAL;8;7401255071;21784060017
3;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);ISMABBVD_PT;ICMA 2000 GMRA;BBVA;K8MS7FD7N5Z2WQ51AZ71;LEI code;SPAIN;UNITED KINGDOM;4;32599,98;214782262
