Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;58978.9236570452;160376.076342955
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;77062.0651881458;209547.934811854
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;97411.0105060665;264880.989493934
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;120026.028485115;326375.971514886
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;4248.21405384566;11551.7859461543
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;10854.4557818828;29515.5442181171
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;18140.1428842282;49326.8571157718
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;26912.9737797267;73182.0262202734
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;39487.956253417;107376.043746583
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;56948.6537633371;154855.346236663
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;74409.0823989499;202333.91760105
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;94057.3412722933;255761.658727707
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Office;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;115893.699257674;315139.300742326
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;4759.61298615037;12942.3870138496
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;12184.5769796281;33132.4230203719
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;20383.0923549358;55425.9076450642
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;30247.2840633811;82248.7159366189
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;44383.3507647061;120687.649235294
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;63992.8917378119;174010.108262188
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;83614.5320547419;227365.467945258
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;105699.061025674;287417.938974326
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;130234.917055397;354136.082944603
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;4648.83677158174;12641.1632284183
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;11901.1834598336;32361.8165401664
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;19908.7980770254;54136.2019229746
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;29543.3711271173;80334.6288728827
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;43350.6045507301;117879.39544927
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;62503.8658245083;169961.134175492
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;81668.6886934963;222074.311306504
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;103239.398863358;280729.601136642
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;127204.165864578;345894.834135422
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;4532.68307086899;12325.316929131
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;11603.8084760644;31553.1915239356
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;19411.6494830026;52784.3505169974
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;28805.5800281456;78328.4199718544
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;42267.8477156139;114935.152284386
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;60942.7815968736;165716.218403126
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;79629.008199036;216527.991800964
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;100661.163131566;273718.836868434
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;124027.415924946;337256.584075054
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;4404.96777494642;11978.0322250536
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;11276.8573185026;30664.1426814974
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;18864.7591421468;51297.2408578532
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;27994.1173689997;76121.8826310004
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;41077.2722833083;111697.727716692
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;59226.019145367;161047.980854633
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;77385.7898540211;210428.210145979
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;97825.3458134701;266007.65418653
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - high street;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;120533.394302811;327755.605697189
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;4490.73867894495;12211.2613210551
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;11496.5276274894;31261.4723725106
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;19231.7725714822;52295.2274285178
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;28538.8567153978;77603.1432846022
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;41876.63559863;113871.36440137
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;60378.6833003566;164182.316699643
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;78892.0237229859;214523.976277014
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;99729.2447827917;271184.755217208
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;122879.053758871;334133.946241129
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;4396.90154573026;11956.0984542697
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;11256.4228711549;30608.577128845
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;18830.0743565173;51202.9256434827
