;;4295864694;Soho Holly Corp;China;;0;0;0;0;0;0;4.173117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.173117;0;0;0;0;0
;;429589163;Ichia Technologies Inc;Taiwan, Province of China;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42983741;Vinacomin Ha Lam Coal JSC;Viet Nam;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;5493HA73OUOVZQJP84;55649635;Aruhi Corp;Japan;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4295856524;Australian Rural Capital Ltd;Australia;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;547747318;Premier Group Ltd;South Africa;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42981391;Global Water Resources Inc;United States of America;;0;0;0;0;0;0;47.86528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93.43177;0;0;0;0;0;0;0;0;0;0;0
;;42958735;Nagpur Power and Industries Ltd;India;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4295888553;Tradehold Ltd;South Africa;;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;2549UCLLYB72ONDB31;56551972;NanoXplore Inc;Canada;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;2138NWJ4UQG2R3X823;54171587;GSTechnologies Ltd;Virgin Islands (British);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;53539241;Coma 18 JSC;Viet Nam;;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0
;81565DBE6CA468DD9;4295875862;Toscana Aeroporti SpA;Italy;FALSE;7.137557;0;0;0;0;0;76.57818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCKGK;5493WZWOM8UCFSF54;4295912188;Mckesson Corp;United States of America;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4295911953;AllianceBernstein Holding LP;United States of America;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;53556151;Uni Pharma Co Ltd;Taiwan, Province of China;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;525556;Jutec Holdings Corp;Japan;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;53356123;Lion Rock Group Ltd;Hong Kong;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;56751651;UWC Bhd;Malaysia;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;529945JUZVZ9QL3159;4295857196;Alterity Therapeutics Ltd;Australia;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;55662144;Golden Faith Group Holdings Ltd;Cayman Islands;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;55896886;Pinlive Foods Co Ltd;China;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;5493EE297QZ9GT38;429815188;EchoStar Corp;United States of America;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
