CÓDIGO PROGRAMA;NOME PROGRAMA;AGENTE;AGENCY;MOEDA;MONTANTE;MONT. DISPONÍVEL;DATA INÍCIO;DATA FIM;DATA BREAK CLAUSE;DATA DENUNCIA;SPREAD;COMISSÃO AGENTE;PERIOCIDADE AGENTE;BASE CALCULO AGENTE;B.C. GARANTIA SUBS;COMISSÃO GARANTIA SUBS;PERIOCIDADE GARANTIA SUBS;BEI;CONVENANTS;ESTADO;Nº EMISSÕES VIVAS;Nº ALTERAÇÕES;TIPO TAXA;METODO COLOCACAO;TOMADA FIRME;INDICADOR INCLUIDO NO RELATORIO;INDICADOR INSC. INTERBOLSA;FUNDING BEI;LEI APLICAVEL
PC0993;I-CHARGING MOBILIDADE ELECTRICA S.A.-2023;BANCO SANTANDER TOTTA;7103;EUR;7000000;0;28/06/2023;29/06/2026;28/06/2025;29/04/2025;1.85;0.05;Anual;Act/360;Act/360;0.6;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0994;Grupado Logoplaste - 2023;BANCO SANTANDER TOTTA;7103;EUR;8100000;0;29/06/2023;29/06/2028;29/06/2026;30/05/2026;1.3;0.25;Trimestral;Act/360;Act/360;0.45;Trimestral;Não;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0995;ASPOCK PORTUGAL - 2023;BANCO SANTANDER TOTTA;6226;EUR;1000000;0;20/07/2023;20/07/2027;;;1.25;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC0997;EUROBEIRAS, LDA - 2023;BANCO SANTANDER TOTTA;6247;EUR;800000;800000;26/07/2023;26/07/2028;;;0.9;0.05;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;0;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC0998;GRUPADO CORK SUPPLY 2023;BANCO SANTANDER TOTTA;6226;EUR;3200000;0;03/08/2023;03/08/2027;;;0.65;0.05;Trimestral;Act/360;Act/360;0.15;Trimestral;Não;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0999;TEC PELLETS -PROD.COMERCIALIZAÇÃO DE PELLETS- 2023;BANCO SANTANDER TOTTA;6246;EUR;500000;0;16/08/2023;16/08/2027;;;0.8;0.025;Trimestral;Act/360;Act/360;0.125;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1000;GRUPADO METALOGALVA 2023;BANCO SANTANDER TOTTA;7102;EUR;2100000;0;04/08/2023;04/08/2028;;;1.15;0.15;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1001;GRUPADO GLOBALVALOS 2023;BANCO SANTANDER TOTTA;6226;EUR;1350000;0;18/08/2023;18/08/2028;18/08/2025;19/07/2025;1;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1002;AODACI LDA 1.5M - 2023;BANCO SANTANDER TOTTA;6586;EUR;1500000;0;21/08/2023;21/08/2026;21/08/2025;22/07/2025;0.75;0.1;Anual;Act/360;Act/360;0.15;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1003;AODACI LDA 2.5M - 2023;BANCO SANTANDER TOTTA;6586;EUR;2200000;0;21/08/2023;21/08/2028;21/08/2025;22/07/2025;0.75;0.1;Trimestral;Act/360;Act/360;0.15;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1004;ISAAC PEDROSO-TRANSPORTES DE MERCADORIAS LDA 2023;BANCO SANTANDER TOTTA;6707;EUR;450000;0;25/08/2023;25/08/2027;25/08/2025;26/07/2025;0.75;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1005;PORCELANAS COSTA VERDE S.A. 2023;BANCO SANTANDER TOTTA;6245;EUR;750000;0;01/09/2023;01/09/2027;;;0.725;0.05;Trimestral;Act/360;Act/360;0.15;Trimestral;Sim;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1006;GRUPADO XRS 2023;BANCO SANTANDER TOTTA;6581;EUR;2650000;2650000;06/09/2023;06/09/2028;;;1.35;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1008;GRUPADO VIOLAS 2023;BANCO SANTANDER TOTTA;7102;EUR;1000000;0;31/08/2023;31/08/2026;01/09/2025;03/07/2025;1.5;0.1;Anual;Act/360;Act/360;0.4;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1009;PRIMUS CERAMICS, S.A - 2023;BANCO SANTANDER TOTTA;6245;EUR;700000;700000;08/09/2023;08/09/2028;;;1;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1010;MOTRINDE - 2023;BANCO SANTANDER TOTTA;6245;EUR;1500000;0;20/09/2023;20/09/2028;;;0.85;0.05;Trimestral;Act/360;Act/360;0.2;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1011;INVESTMCD - 2023;BANCO SANTANDER TOTTA;6595;EUR;1700000;0;25/09/2023;25/09/2028;;;1.06;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1012;GRUPADO ETE - 2023;BANCO SANTANDER TOTTA;7103;EUR;8350000;0;27/09/2023;27/09/2028;;;1.25;0.05;Trimestral;Act/360;Act/360;0.4;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1016;BIAL HOLDING, S.A. - 2023;BANCO SANTANDER TOTTA;7102;EUR;20000000;20000000;30/10/2023;30/10/2028;30/04/2026;31/03/2026;0.65;0.2;Anual;Act/360;Act/360;0.1;Anual;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1017;GRUPADO CÃES DE PEDRA 2023;BANCO SANTANDER TOTTA;6246;EUR;1900000;0;15/11/2023;15/11/2028;;;0.925;0.075;Trimestral;Act/360;Act/360;0.15;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1019;TN - TRANSPORTES M SIMÕES NOGUEIRA, SA - 2023;BANCO SANTANDER TOTTA;6246;EUR;850000;0;09/11/2023;09/11/2027;10/11/2025;11/10/2025;1.25;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1020;GRUPADO PETROTEC - 2023;BANCO SANTANDER TOTTA;6246;EUR;600000;0;21/11/2023;21/11/2025;21/05/2025;21/04/2025;1.45;0.05;Mensal;Act/360;Act/360;0.2;Mensal;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1021;INTRAPLÁS - 2023 (TRIMESTRAL);BANCO SANTANDER TOTTA;6210;EUR;6300000;6300000;06/11/2023;06/11/2028;;;0.75;0.15;Trimestral;Act/360;Act/360;0.15;Trimestral;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1022;INTRAPLÁS - 2023 (SEMESTRAL);BANCO SANTANDER TOTTA;6210;EUR;6750000;6750000;06/11/2023;06/11/2028;;;0.75;0.15;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1023;COBEL 2023;BANCO SANTANDER TOTTA;8071;EUR;1050000;50000;30/11/2023;30/11/2028;30/05/2025;30/04/2025;0.62;0.025;Semestral;Act/360;Act/360;0.075;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1024;AUTOZITÂNIA - ACESSORIOS e SOBRESSALENTES SA -2023;BANCO SANTANDER TOTTA;6593;EUR;750000;0;28/11/2023;30/11/2026;28/11/2025;29/10/2025;1.1;0.1;Mensal;Act/360;Act/360;0.1;Mensal;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1026;GRUPADO INCENTEA SA - 2023;BANCO SANTANDER TOTTA;6586;EUR;750000;0;11/12/2023;13/12/2027;;;1;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1027;O1K1 AL - VITA, SA - 2023;BANCO SANTANDER TOTTA;6581;EUR;550000;0;12/12/2023;13/12/2027;12/12/2025;12/11/2025;2.35;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1028;LITOCARTÃO - CARTÃO CANELADO, LDA - 2023;BANCO SANTANDER TOTTA;6228;EUR;750000;750000;04/12/2023;04/12/2028;04/12/2025;04/11/2025;0.9;0.05;Trimestral;Act/360;Act/360;0.15;Trimestral;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1029;GRUPADO GALP 2023;BANCO SANTANDER TOTTA;9411;EUR;200000000;0;27/12/2023;16/06/2025;;;1.5;0.025;Semestral;Act/360;Act/360;0.375;Semestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1030;QUIMIALMEL 2023;BANCO SANTANDER TOTTA;6245;EUR;600000;0;18/12/2023;20/12/2027;18/12/2025;18/11/2025;1.1;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1031;FRIGOSTO 2023;BANCO SANTANDER TOTTA;6239;EUR;1000000;0;04/01/2024;04/01/2027;04/01/2026;05/12/2025;1.35;0.15;Anual;Act/360;Act/360;0.15;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1032;COLEP 2023;BANCO SANTANDER TOTTA;7102;EUR;17500000;0;20/12/2023;20/12/2028;;;0.6;0.05;Anual;Act/360;Act/360;0.05;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1033;GRUPADO AAC 2023;BANCO SANTANDER TOTTA;6246;EUR;1500000;0;22/12/2023;22/12/2028;;;1.15;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1034;RUBICER 2023;BANCO SANTANDER TOTTA;6245;EUR;1400000;1400000;15/12/2023;17/12/2029;;;0.9;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;0;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1035;GRUPADO PROEF 2023;BANCO SANTANDER TOTTA;6210;EUR;1000000;0;28/11/2023;30/11/2026;28/11/2025;29/10/2025;0.85;0.1;Semestral;Act/360;Act/360;0.1;Semestral;Não;Não;Validado BO;1;3;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1036;GRUPADO SALVADOR CAETANO 2023;BANCO SANTANDER TOTTA;7102;EUR;11500000;0;20/12/2023;20/12/2028;20/12/2026;20/11/2026;0.75;0.1;Anual;Act/360;Act/360;0.4;Anual;Não;Não;Validado BO;2;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1037;GRUPADO RESPOL 2023;BANCO SANTANDER TOTTA;6594;EUR;23700000;0;27/12/2023;27/12/2028;27/12/2025;27/11/2025;1.6;0.07;Semestral;Act/360;Act/360;0.28;Semestral;Não;Não;Validado BO;3;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1038;SEVEME 2023;BANCO SANTANDER TOTTA;6245;EUR;1200000;0;18/12/2023;18/12/2028;;;1.05;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1039;CONDURIL - ENGENHARIA, SA - 2024;BANCO SANTANDER TOTTA;6210;EUR;2500000;0;10/01/2024;12/07/2027;12/01/2026;13/12/2025;1.25;0.125;Trimestral;Act/360;Act/360;0.125;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1040;ESPORÃO SA -2024;BANCO SANTANDER TOTTA;6208;EUR;9200000;0;15/01/2024;15/01/2029;15/01/2026;16/11/2025;0.8;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1041;VIDEIRA II, SA - 2024;BANCO SANTANDER TOTTA;6228;EUR;1200000;0;18/01/2024;18/01/2029;;;0.6;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1043;HOVIONE - 2023;BANCO SANTANDER TOTTA;7103;EUR;20000000;20000000;20/12/2023;20/12/2028;;;0.9;0.1;Anual;Act/360;Act/360;0.35;Anual;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1044;OLI - SISTEMAS SANITARIOS, S.A. 2024;BANCO SANTANDER TOTTA;6245;EUR;1500000;1500000;04/01/2024;04/01/2027;;;0.85;0.03;Anual;Act/360;Act/360;0.2;Anual;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1045;MENDES E GONÇALVES, SA - 2024;BANCO SANTANDER TOTTA;6594;EUR;1500000;0;25/01/2024;25/01/2028;26/01/2026;27/12/2025;0.75;0.1;Trimestral;Act/360;Act/360;0.15;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1046;SEDACOR - 2024;BANCO SANTANDER TOTTA;6226;EUR;800000;0;29/01/2024;29/01/2027;;;1.3;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1047;GRUPADO SCRAPS - 2024;BANCO SANTANDER TOTTA;6707;EUR;1000000;0;25/01/2024;26/01/2026;25/07/2025;25/06/2025;1.45;0.1;Trimestral;Act/360;Act/360;0.05;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1048;GRUPEL - 2024;BANCO SANTANDER TOTTA;6245;EUR;800000;800000;17/01/2024;17/01/2029;19/01/2026;20/12/2025;0.775;0.05;Semestral;Act/360;Act/360;0.075;Semestral;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1050;UNIMADEIRAS - 2024;BANCO SANTANDER TOTTA;6245;EUR;1000000;0;22/01/2024;22/01/2027;22/07/2025;22/06/2025;1.25;0.1;Semestral;Act/360;Act/360;0.4;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1051;GRUPADO VNC - 2024;BANCO SANTANDER TOTTA;6246;EUR;4000000;4000000;26/01/2024;26/01/2029;;;0.75;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1052;INTERPREV - 2024;BANCO SANTANDER TOTTA;6247;EUR;600000;0;02/02/2024;02/02/2029;02/02/2026;03/01/2026;0.95;0.05;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1053;FERNANDO & IRMÃOS - 2024;BANCO SANTANDER TOTTA;6228;EUR;2000000;2000000;07/02/2024;07/02/2029;;;0.625;0.05;Anual;Act/360;Act/360;0.05;Anual;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1054;AVELEDA, SA;BANCO SANTANDER TOTTA;6228;EUR;6000000;2000000;07/02/2024;07/02/2029;;;0.625;0.05;Anual;Act/360;Act/360;0.05;Anual;Sim;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1055;GRESTEL - 2024;BANCO SANTANDER TOTTA;6245;EUR;2000000;1750000;16/02/2024;16/02/2029;16/02/2026;17/01/2026;0.65;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Sim;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1057;GRUPADO RIO CAIMA 2024;BANCO SANTANDER TOTTA;6226;EUR;1500000;0;20/02/2024;20/02/2029;20/08/2026;21/07/2026;0.9;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1058;PROPECUARIA - 2024;BANCO SANTANDER TOTTA;6594;EUR;2500000;2500000;19/02/2024;19/02/2027;19/02/2026;20/01/2026;0.6;0.05;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1059;GRUPADO CORK SUPPLY - 2024;BANCO SANTANDER TOTTA;6226;EUR;6000000;0;22/02/2024;22/02/2029;;;0.65;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1060;GLINTT - 2024;BANCO SANTANDER TOTTA;7103;EUR;2700000;0;22/02/2024;22/02/2029;;;2;0.05;Trimestral;Act/360;Act/360;0.35;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1061;PECOL SISTEMAS DE FIXAÇÃO - 2024;BANCO SANTANDER TOTTA;6245;EUR;1000000;0;27/02/2024;28/02/2028;;;0.6;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1062;RBT - 2024;BANCO SANTANDER TOTTA;6228;EUR;800000;0;23/02/2024;23/02/2029;;;0.65;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1063;EUROTAGAR - 2024;BANCO SANTANDER TOTTA;6226;EUR;2000000;0;27/02/2024;01/03/2027;27/02/2026;28/01/2026;0.85;0.1;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1065;MARI-SPORT CALÇADO, LDA;BANCO SANTANDER TOTTA;6228;EUR;800000;0;21/02/2024;22/01/2029;23/02/2026;24/01/2026;0.8;0.05;Trimestral;Act/360;Act/360;0.2;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1066;JOÃO PIRES INTERNACIONAL TRANSPORTES - 2024;BANCO SANTANDER TOTTA;6707;EUR;800000;800000;08/03/2024;08/03/2028;;;0.675;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1067;AAPICO MAIA, SA - 2024;BANCO SANTANDER TOTTA;6210;EUR;600000;0;04/03/2024;04/03/2026;;;2.5;0.3;Mensal;Act/360;Act/360;0.3;Mensal;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1068;PECOL AUTOMOTIVE,SA - 2024;BANCO SANTANDER TOTTA;6245;EUR;2000000;0;22/03/2024;22/03/2028;;;0.6;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1069;GRUPADO JAIME ALBERTO, LDA - 2024;BANCO SANTANDER TOTTA;6247;EUR;1000000;600000;13/03/2024;13/03/2028;13/03/2025;11/02/2025;0.65;0.05;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1070;BUTTERFLY SECRET, LDA - 2024;BANCO SANTANDER TOTTA;6586;EUR;650000;0;19/03/2024;19/03/2026;19/03/2025;17/02/2025;0.75;0.1;Trimestral;Act/360;Act/360;0.2;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1071;SILVEX - 2024;BANCO SANTANDER TOTTA;6239;EUR;2050000;0;21/03/2024;21/03/2028;21/03/2025;20/01/2025;0.7;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1072;UNIOVO;BANCO SANTANDER TOTTA;6586;EUR;2000000;0;21/03/2024;21/03/2029;;;1;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1073;CASA DA MALHA - C5M, LDA - 2024;BANCO SANTANDER TOTTA;6707;EUR;750000;750000;04/03/2024;06/03/2028;;;0.7;0.125;Anual;Act/360;Act/360;0.125;Anual;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1074;ROCLAYER PACKAGING COMPOUNDS,SA - 2024;BANCO SANTANDER TOTTA;6226;EUR;900000;0;25/03/2024;26/03/2029;;;0.75;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1075;METALUSA 2024;BANCO SANTANDER TOTTA;6245;EUR;1500000;0;19/03/2024;19/03/2029;;;1.25;0.1;Semestral;Act/360;Act/360;0.35;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1076;F.FONSECA, SA - 2024;BANCO SANTANDER TOTTA;6245;EUR;500000;0;22/03/2024;22/03/2029;23/03/2026;21/02/2026;0.8;0.05;Semestral;Act/360;Act/360;0.05;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1077;LUGRADE - 2024;BANCO SANTANDER TOTTA;6586;EUR;5000000;5000000;25/03/2024;25/03/2030;;;0.5;0.15;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;0;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1078;CICLO FAPRIL - 2024;BANCO SANTANDER TOTTA;6245;EUR;1500000;0;25/03/2024;26/03/2029;;;0.95;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1079;BIOPORT SA - 2024;BANCO SANTANDER TOTTA;6228;EUR;1800000;0;27/03/2024;27/03/2029;;;0.7;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1080;AAPICO ÁGUEDA, SA - 2024;BANCO SANTANDER TOTTA;6210;EUR;600000;0;04/03/2024;04/03/2026;04/03/2026;02/02/2026;2.5;0.3;Mensal;Act/360;Act/360;0.3;Mensal;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1082;BEIRABAGA - 2024;BANCO SANTANDER TOTTA;6247;EUR;750000;700000;04/04/2024;04/04/2029;;;0.9;0.05;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1083;CARTONAGEM TRINDADE - 2024;BANCO SANTANDER TOTTA;6226;EUR;1800000;0;29/04/2024;30/04/2029;;;0.75;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1084;CERÂMICA DA BORRALHEIRA - 2024;BANCO SANTANDER TOTTA;6245;EUR;900000;0;04/04/2024;04/04/2029;;;0.75;0.03;Semestral;Act/360;Act/360;0.12;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1085;GRUPADO BA GLASS - 2024;BANCO SANTANDER TOTTA;7102;EUR;175000000;100000000;25/03/2024;26/03/2029;;;0.75;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1086;SONS EM TRÂNSITO - 2024;BANCO SANTANDER TOTTA;6245;EUR;800000;500000;17/04/2024;17/04/2029;;;0.9;0.05;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1087;TRANSPORTES CENTRAL POMBALENSE,LDA -2024;BANCO SANTANDER TOTTA;6586;EUR;2000000;0;22/04/2024;23/04/2029;;;0.75;0.05;Semestral;Act/360;Act/360;0.05;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1088;REN SGPS 2008 II;BANCO SANTANDER TOTTA;9411;EUR;125000000;0;29/04/2024;28/04/2026;;;0.55;0.025;Anual;Act/360;Act/360;0.125;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
