CÓDIGO PROGRAMA;NOME PROGRAMA;AGENTE;AGENCY;MOEDA;MONTANTE;MONT. DISPONÍVEL;DATA INÍCIO;DATA FIM;DATA BREAK CLAUSE;DATA DENUNCIA;SPREAD;COMISSÃO AGENTE;PERIOCIDADE AGENTE;BASE CALCULO AGENTE;B.C. GARANTIA SUBS;COMISSÃO GARANTIA SUBS;PERIOCIDADE GARANTIA SUBS;BEI;CONVENANTS;ESTADO;Nº EMISSÕES VIVAS;Nº ALTERAÇÕES;TIPO TAXA;METODO COLOCACAO;TOMADA FIRME;INDICADOR INCLUIDO NO RELATORIO;INDICADOR INSC. INTERBOLSA;FUNDING BEI;LEI APLICAVEL
PC0907;MONLIZ PRODUTOS ALIMENTARES;BANCO SANTANDER TOTTA;6239;EUR;1600000;0;31/01/2022;01/02/2027;;;1.13;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0908;GRUPADO DEROVO - FEV 2022;BANCO SANTANDER TOTTA;6594;EUR;250000;0;02/02/2022;02/02/2026;;;1.08;0.02;Trimestral;Act/360;Act/360;0.03;Trimestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0909;NABEIROGEST 2022;BANCO SANTANDER TOTTA;6380;EUR;39000000;0;04/02/2022;04/02/2026;04/02/2026;05/01/2026;0.4;0.05;Mensal;Act/360;Act/360;0.25;Mensal;Não;Não;Validado BO;1;2;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0911;GRUPADO GLOBALVALOS 2022;BANCO SANTANDER TOTTA;6226;EUR;400000;0;24/02/2022;24/02/2027;;;1.3;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0912;NORS 2022;BANCO SANTANDER TOTTA;7102;EUR;25000000;16500000;25/02/2022;25/02/2027;;;0.9;0.25;Anual;Act/360;Act/360;0.25;Anual;Não;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0913;SONAE MC I - MARÇO 2022;BANCO SANTANDER TOTTA;9411;EUR;50000000;0;03/03/2022;04/01/2027;;;0.86;0.015;Semestral;Act/360;Act/360;0.285;Semestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0914;SONAE MC II - MARÇO 2022;BANCO SANTANDER TOTTA;9411;EUR;25000000;25000000;03/03/2022;04/01/2027;;;0.48;0.015;Semestral;Act/360;Act/360;0.285;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Sim;;PRT
PC0916;CASA SANTOS LIMA - MARÇO 2022;BANCO SANTANDER TOTTA;6239;EUR;1200000;0;16/03/2022;16/03/2029;;;1.74;0.15;Trimestral;Act/360;Act/360;0.15;Trimestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0918;SONAE SGPS 2014 II;BANCO SANTANDER TOTTA;9411;EUR;75000000;0;10/12/2021;10/12/2026;;;1.14;0.015;Semestral;Act/360;Act/360;0.285;Semestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Sim;;PRT
PC0919;GREENVOLT - ENERGIAS RENOVÁVEIS, S.A. Abril 2022;BANCO SANTANDER TOTTA;7102;EUR;30000000;0;12/04/2022;18/06/2029;17/06/2025;18/05/2025;1;0.3;Anual;Act/360;Act/360;0.15;Anual;Não;Não;Validado BO;1;2;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
