c0010;c0020;c0030;c0040;c0050;c0060;c0070;c0080;c0090;c0100;c0110;c0120;c0130;c0140;c0150
27;31000318629012097000000000000000P_0000_00000000000_000008000176024;PT;FALSE;Counterparty;150227.92;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
28;31000318636603097000000000000000P_0000_00000000000_000008000176024;PT;FALSE;Counterparty;200327.25;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
29;31000318637213097000000000000000P_0000_00000000000_000008000176024;PT;FALSE;Counterparty;250150.59;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
30;31000322311418096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;34942.99;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
31;89000020240000766001520250082864P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
32;89000020240000766001520250082865P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
33;89000020240000766001520250082891P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2070.39;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
34;89000020240000766001520250082895P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
35;89000020240000766001520250082897P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2003.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
36;89000020240000766001520250082899P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
37;89000020240000766001520250082901P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
38;89000020240000766001520250082902P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2003.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
39;89000020240000766001520250082904P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2003.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
40;89000020240000766001520250082905P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
41;89000020240000766001520250082907P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
42;89000020240000766001520250082911P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
43;89000020240000766001520250082913P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
44;89000020240000766001520250082916P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
45;89000020240000766001520250082917P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2003.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
46;89000020240000766001520250082919P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2003.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
47;89000020240000766001520250082920P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2003.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
48;89000020240000766001520250082922P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
49;89000020240000766001520250082925P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
50;89000020240000766001520250082926P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
51;89000020240000766001520250082928P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
52;89000020240000766001520250082932P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1894.60;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
53;89000020240000766001520250082933P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2003.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
54;89000020240000766001520250082934P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2003.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
55;89000020240000766001520250082938P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2003.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
56;89000020240000766001520250143408P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2324.28;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
57;89000020240000766001520250143410P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2324.28;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
58;89000020240000766001520250143418P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2380.25;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
59;89000020240000766001520250143423P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2380.25;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
60;89000020240000766001520250143424P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2380.25;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
61;89000020240000766001520250143425P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2832.14;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
62;89000020240000766001520250143428P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2380.25;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
63;89000020240000766001520250143435P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2832.14;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
64;89000020240000766001520250143438P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2832.14;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
65;89000020240000766001520250143448P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4439.16;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
66;89000020240000766001520250143452P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4439.16;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
67;89000020240000766001520250143453P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4442.92;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
68;89000020240000766001520250143455P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2314.92;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
69;89000020240000766001520250143458P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2314.92;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
70;89000020240000766001520250143462P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2314.92;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
71;89000020240000766001520250143470P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1557.89;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
72;89000020240000766001520250143475P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1817.99;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
73;89000020240000766001520250143477P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1817.99;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
74;89000020240000766001520250143485P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
75;89000020240000766001520250143486P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
76;89000020240000766001520250143489P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
77;89000020240000766001520250143495P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
78;89000020240000766001520250143499P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
79;89000020240000766001520250143501P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
80;89000020240000766001520250143502P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
81;89000020240000766001520250143508P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
82;89000020240000766001520250143509P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
83;89000020240000766001520250143516P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2198.25;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
84;89000020240000766001520250143523P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2373.18;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
85;89000020240000766001520250143527P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2373.18;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
86;89000020240000766001520250143531P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2373.18;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
87;89000020240000766001520250143532P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1504.08;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
88;89000020240000766001520250143536P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2373.18;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
89;89000020240000766001520250143545P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2373.18;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
90;89000020240000766001520250143549P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1504.08;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
91;89000020240000766001520250143551P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2198.25;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
92;89000020240000766001520250143552P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2373.18;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
93;89000020240000766001520250143553P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1504.08;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
94;89000020240000766001520250143557P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1504.08;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
95;89000020240000766001520250143559P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2373.18;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
96;89000020240000766001520250143561P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2635.02;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
97;89000020240000766001520250143563P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1506.01;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
98;89000020240000766001520250143566P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2635.02;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
99;89000020240000766001520250143568P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2635.02;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
100;89000020240000766001520250143569P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2635.02;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
101;89000020240000766001520250143571P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2635.02;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
102;89000020240000766001520250143573P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2635.02;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
103;89000020240000766001520250143577P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1834.45;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
104;89000020240000766001520250143578P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2635.02;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
105;89000020240000766001520250143579P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2635.02;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
106;89000020240000766001520250143580P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2187.90;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
107;89000020240000766001520250143582P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1506.01;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
108;89000020240000766001520250143585P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1806.38;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
109;89000020240000766001520250143586P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1806.38;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
110;89000020240000766001520250143605P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2735.46;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
111;89000020240000766001520250143623P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
112;89000020240000766001520250143624P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2212.37;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
113;89000020240000766001520250143625P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
114;89000020240000766001520250143626P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
115;89000020240000766001520250143629P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
116;89000020240000766001520250143630P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
117;89000020240000766001520250143631P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
118;89000020240000766001520250143632P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
119;89000020240000766001520250143633P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1470.55;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
120;89000020240000766001520250143636P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1837.82;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
121;89000020240000766001520250143638P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2832.14;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
122;89000020240000766001520250143639P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2170.00;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
123;89000020240000766001520250143640P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2170.00;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
124;89000020240000766001520250143642P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2170.00;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
125;89000020240000766001520250143643P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2170.00;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
126;89000020240000766001520250143644P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2832.14;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
127;89000020240000766001520250143645P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1849.32;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
128;89000020240000766001520250143646P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1849.32;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
129;89000020240000766001520250143647P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1849.32;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
130;89000020240000766001520250143648P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1849.32;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
131;89000020240000766001520250143649P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1849.32;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
132;89000020240000766001520250143650P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1849.32;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
133;89000020240000766001520250143651P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1849.32;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
134;89000020240000766001520250143652P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1849.32;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
