unique_trade_id;counterparty_id;counterparty_type_id;counterparty_country;base_product;product_id;governing_law;contract_recogn_write_down;contract_recogn_suspension;contract_recogn_resolution;collateral_portfolio;collateral_posted;collateral_posted_currency;collateral_received;collateral_received_currency;leg_1_cash_flow;leg_2_cash_flow;leg_1_reference_rate;leg_2_reference_rate;leg_1_reference_period;leg_2_reference_period;premium;netting_agreement;carrying_amount;accounting_standard;accounting_classification;hierarchy;hedge_id;total_risk_exposure_amount
1010000051SW10000000LCH0008160291182561135;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-375039949.8300;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EUR ESTR COMP;N/A;1 year;0.0000;ISDA-LUTD-MAD;1419235.0000;IFRS;trading book;Level 2;N/A;0.6310
1010000051SW10000000LCH0008173815582764609;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-375039949.8300;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR1M;N/A;1 month;0.0000;ISDA-LUTD-MAD;4919651.0000;IFRS;trading book;Level 2;N/A;19.5012
1010000051SW10000000LCH0008427628486134880;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;3 month;0.0000;ISDA-LUTD-MAD;-811622.0000;IFRS;trading book;Level 2;N/A;95.8556
1010000051SW10000000LCH0008430223686187801;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;3 month;0.0000;ISDA-LUTD-MAD;-631993.0000;IFRS;trading book;Level 2;N/A;41.4634
1010000051SW10000000LCH0008445486286497879;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;6 month;0.0000;ISDA-LUTD-MAD;31490990.0000;IFRS;trading book;Level 2;N/A;18.1270
1010000051SW10000000LCH0008447053486531224;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;6 month;0.0000;ISDA-LUTD-MAD;11834339.0000;IFRS;trading book;Level 2;N/A;5.2162
1010000051SW10000000LCH0008448604386563065;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;6 month;0.0000;ISDA-LUTD-MAD;-15790430.0000;IFRS;trading book;Level 2;N/A;1067.6656
1010000051SW10000000LCH0008628511988868008;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;1 year;0.0000;ISDA-LUTD-MAD;-10955773.0000;IFRS;trading book;Level 2;N/A;756.3508
1010000051SW10000000LCH0008871833191854707;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;1 year;0.0000;ISDA-LUTD-MAD;-8563736.0000;IFRS;trading book;Level 2;N/A;598.6814
1010000051SW10000000LCH0008959311792920439;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP SONIA CMP LB -5;N/A;3 month;0.0000;ISDA-LUTD-MAD;2810414.0000;IFRS;trading book;Level 2;N/A;4.0570
