unique_trade_id;counterparty_id;counterparty_type_id;counterparty_country;base_product;product_id;governing_law;contract_recogn_write_down;contract_recogn_suspension;contract_recogn_resolution;collateral_portfolio;collateral_posted;collateral_posted_currency;collateral_received;collateral_received_currency;leg_1_cash_flow;leg_2_cash_flow;leg_1_reference_rate;leg_2_reference_rate;leg_1_reference_period;leg_2_reference_period;premium;netting_agreement;carrying_amount;accounting_standard;accounting_classification;hierarchy;hedge_id;total_risk_exposure_amount
18125055;P5SP0XPUO3I6PBITKC96;Legal Entity Identifier;GB;Cross Currency (2.4);IRD|CS|;GB;YES;NO;NO;YES;-13528049.4259;GBP;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-9XY4-BSTE;534999.0000;IFRS;trading book;Level 2;N/A;8810.8520
18356383;P5SP0XPUO3I6PBITKC96;Legal Entity Identifier;GB;IR Swap (2.1);IRD|INFLS|;GB;YES;NO;NO;YES;-13528049.4259;GBP;11111111111.0000;N/A;N/A;N/A;N/A;GBP RPI_ZC;N/A;0 businessDay;0.0000;2002-9XY4-BSTE;9984330.0000;IFRS;trading book;Level 2;N/A;406.1592
18453645;549300URJH9VSI58CS32;Legal Entity Identifier;PT;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-217870000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR6M;N/A;6 month;0.0000;1992-9ID1-BSTE;7480.0000;IFRS;trading book;Level 2;N/A;0.0000
19422700;959800JEGA56JAPGDE67;Legal Entity Identifier;ES;IR Swap (2.1);IRD|IRS|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;10357.1428|20714.2857|93214.2858|196785.7142|0.0000|0.0000;N/A;N/A;EURIBOR6M;N/A;1 month;0.0000;CMOF-00CUMU-BSTE;12900.0000;IFRS;trading book;Level 2;N/A;987.3310
19455991;959800YPF3CYC2S1CT53;Legal Entity Identifier;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-2672.0000;19455991;3958.0000;IFRS;trading book;Level 2;N/A;0.0000
19471751;959800WK21NETY5BL735;Legal Entity Identifier;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-3016.5000;19471751;3481.0000;IFRS;trading book;Level 2;N/A;0.0000
19477944;9598002P2NSC8T54P044;Legal Entity Identifier;ES;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;N/A;0.0000;CMOF-97EU-BSTE;5016.0000;IFRS;trading book;Level 2;N/A;120188.7800
19576624;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;5573.9800|11147.9600|50165.8200|83609.7000|0.0000|0.0000;EURIBOR3M;N/A;1 month;N/A;0.0000;1992-1WBK-BSTE;21882.0000;IFRS;trading book;Level 2;N/A;0.0000
1KJTIIGC8YBBG0000000000B6200D1B3E034005D;549300327V0JEQ12IM52;Legal Entity Identifier;SG;Forward (4.4);CURR|FXD|FXD;ES;YES;NO;NO;YES;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-NTCBSB-BSTE;2107579.0000;IFRS;trading book;Level 2;N/A;16326.4735
1TVTFW16MUNCHKNB1164105.1;7H6GLXDRUGQFU57RNE97;Legal Entity Identifier;US;Forward (4.4);CURR|FXD|SWLEG;HK;YES;YES;YES;YES;-72033296.7500;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-CMFX-BECM;37162.0000;IFRS;trading book;Level 2;N/A;559.0401
20318603;959800YPC7ML4M5XV624;Legal Entity Identifier;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-527.5000;20318603;1845.0000;IFRS;trading book;Level 2;N/A;0.0000
20326546;25853000B;Other identifier type;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-2392.0000;20326546;7382.0000;IFRS;trading book;Level 2;N/A;0.0000
20595916;VWMYAEQSTOPNV0SUGU82;Legal Entity Identifier;ES;CapFloor (2.3);IRD|CF|;ES;YES;NO;NO;YES;-271990000.0000;EUR;11111111111.0000;N/A;N/A;N/A;EURIBOR6M;N/A;6 month;N/A;-2000.0000;1992-BKTE-BSTE;28343.0000;IFRS;trading book;Level 2;N/A;48.9481
20923405;959800WLG66JB53PNF07;Legal Entity Identifier;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 month;N/A;-22467.0000;20923405;61678.0000;IFRS;trading book;Level 2;N/A;0.0000
21792545;959800S3A4LPC8LPA275;Legal Entity Identifier;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-374.1000;21792545;1221.0000;IFRS;trading book;Level 2;N/A;0.0000
21876848;27390111D;Other identifier type;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-807.6400;21876848;1394.0000;IFRS;trading book;Level 2;N/A;0.0000
22260376;26493279Q;Other identifier type;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-458.1000;22260376;1385.0000;IFRS;trading book;Level 2;N/A;0.0000
22273473;28912239C;Other identifier type;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-763.5000;22273473;2304.0000;IFRS;trading book;Level 2;N/A;0.0000
22931262;95980020140005490280;Legal Entity Identifier;ES;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR6M;N/A;6 month;N/A;0.0000;CMOF-CNIT-BSTE;7119.0000;IFRS;trading book;Level 2;N/A;3955.8744
23925607;53373993D;Other identifier type;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-446.3600;23925607;2377.0000;IFRS;trading book;Level 2;N/A;0.0000
23957973;9845009F2FCB56550935;Legal Entity Identifier;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-1417.0000;23957973;7544.0000;IFRS;trading book;Level 2;N/A;0.0000
24459923;959800WZBG7UH9QUM382;Legal Entity Identifier;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-840.5000;24459923;3834.0000;IFRS;trading book;Level 2;N/A;0.0000
24758244;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;CapFloor (2.3);IRD|CF|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;PLN WIBOR 1M;N/A;1 month;N/A;-3635.0000;1992-1WBK-BSTE;42.0000;IFRS;trading book;Level 2;N/A;0.0000
25118662;213800YEFD6DCPNNUK73;Legal Entity Identifier;KY;IR Swap (2.1);IRD|INFLS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;5556868.1189;USD;N/A;N/A;N/A;GBP RPI;N/A;6 month;0.0000;2002-YP69-BSTE;20707675.0000;IFRS;trading book;Level 2;N/A;117373.5054
254900QBKK4WBSO3GE51BBG0000000000B6512D706E0300047;F0HUI1NY1AZMJMD8LP67;Legal Entity Identifier;US;Forward (4.4);CURR|FXD|SWLEG;ES;YES;YES;YES;YES;11111111111.0000;N/A;11690000.0000;EUR;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-CCFP-BECM;43348.0000;IFRS;trading book;Level 2;N/A;54918.7579
2626160;SI5RG2M0WQQLZCXKRM20;Legal Entity Identifier;GB;Option (5.4);EQD|OPT|FLEX;ES;YES;YES;YES;YES;-98180000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-BSAB-BSTE;882.0000;IFRS;trading book;Level 2;N/A;1377.3668
28020729;3YJP8HORPAEXJ80D6368;Legal Entity Identifier;CL;Forward (4.4);CURR|FXD|FXD;US;YES;NO;NO;YES;11111111111.0000;N/A;750668619.7609;USD;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-BSCH-BSTE;125269.0000;IFRS;trading book;Level 2;N/A;0.0000
28757251;14852636H;Other identifier type;ES;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR6M;N/A;6 month;N/A;0.0000;CMOF-00OG1J-BSTE;-8.0000;IFRS;trading book;Level 2;N/A;0.0000
29022420;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;PLNWIBOR;N/A;6 month;0.0000;1992-1WBK-BSTE;493673.0000;IFRS;trading book;Level 2;N/A;0.0000
29025034;213800JYZ3I59V5ANN16;Legal Entity Identifier;GB;IR Swap (2.1);IRD|INFLS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;GBP RPI;N/A;6 month;0.0000;1992-WAWV-BSTE;3785605.0000;IFRS;trading book;Level 2;N/A;876809.0474
29223942;PTCQB104N23FMNK2RZ28;Legal Entity Identifier;GB;Forward (4.4);CURR|FXD|FXD;ES;YES;YES;YES;YES;-733830000.0000;EUR;11111111111.0000;N/A;N/A;0.0000|91120.3421|182240.7031|0.0000|0.0000|0.0000;N/A;N/A;N/A;N/A;0.0000;2002-1AVB-BSTE;49098.0000;IFRS;trading book;Level 2;N/A;0.0000
29451416;PTCQB104N23FMNK2RZ28;Legal Entity Identifier;GB;Forward (4.4);CURR|FXD|FXD;ES;YES;YES;YES;YES;-733830000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-1AVB-BSTE;2517.0000;IFRS;trading book;Level 2;N/A;0.0000
30289623;03251916S;Other identifier type;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURHIPOTEC-15M;N/A;1 year;N/A;-3621.1600;30289623;6753.0000;IFRS;trading book;Level 2;N/A;0.0000
31277470;TR24TWEY5RVRQV65HD49;Legal Entity Identifier;US;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;-313169843.5950;USD;11111111111.0000;N/A;665658.0636|1331316.1272|5990922.5724|6656580.6360|0.0000|0.0000;N/A;N/A;USDSOFR1M;N/A;1 month;0.0000;1992-SBWO-BSTE;523505.0000;IFRS;trading book;Level 2;N/A;0.0000
31297445;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;PLNWIBOR;N/A;6 month;0.0000;1992-1WBK-BSTE;1338893.0000;IFRS;trading book;Level 2;N/A;0.0000
31930152;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;Simple Exotic (4.6);CURR|OPT|FLEX;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-1WBK-BSTE;5584.0000;IFRS;trading book;Level 2;N/A;0.0000
31957360;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;CapFloor (2.3);IRD|CF|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;PLNWIBOR3M;N/A;1 month;N/A;-1460.0000;1992-1WBK-BSTE;1448.0000;IFRS;trading book;Level 2;N/A;0.0000
32931436;T33OE4AS4QXXS2TT7X50;Legal Entity Identifier;US;Single Name (1.1);CRD|CDS|;ES;YES;NO;NO;YES;-25470956.8400;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;-10221.0000;ISDA-W6FE-BSTE;11548.0000;IFRS;trading book;Level 2;N/A;37.8724
33665760;969500SHQITWXSIS7N89;Legal Entity Identifier;FR;IR Swap (2.1);IRD|IRS|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;0.0000;FBF-UPNA-BSTE;2123545.0000;IFRS;trading book;Level 2;N/A;66629.2342
33665951;969500SHQITWXSIS7N89;Legal Entity Identifier;FR;IR Swap (2.1);IRD|IRS|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;0.0000;FBF-UPNA-BSTE;13831.0000;IFRS;trading book;Level 2;N/A;4845.5259
33816981;HQ6XF7UI1QMJFYISFT58;Legal Entity Identifier;US;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;11111111111.0000;N/A;164420000.0000;EUR;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;0.0000;1992-DBFF-BSTE;5415379.0000;IFRS;trading book;Level 2;N/A;59572.8172
34137244;9CZ7TVMR36CYD5TZBS50;Legal Entity Identifier;SG;CapFloor (2.3);IRD|CF|;ES;YES;YES;YES;YES;11111111111.0000;N/A;2500000.0000;EUR;N/A;N/A;USD SOFR CMP LB -2;N/A;3 month;N/A;0.0000;1992-BILU-BSTE;36360.0000;IFRS;trading book;Level 2;N/A;239.6249
34198950;213800URRQ4HTSWKXZ41;Legal Entity Identifier;GB;Forward (4.4);CURR|FXD|SWLEG;ES;YES;YES;YES;YES;-3860000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-00EPW9-BSTE;538.0000;IFRS;trading book;Level 2;N/A;0.0000
34310895;PTCQB104N23FMNK2RZ28;Legal Entity Identifier;GB;Forward (4.4);CURR|FXD|FXD;ES;YES;YES;YES;YES;-733830000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-1AVB-BSTE;9779.0000;IFRS;trading book;Level 2;N/A;0.0000
34579899;213800URRQ4HTSWKXZ41;Legal Entity Identifier;GB;Forward (4.4);CURR|FXD|SWLEG;ES;YES;YES;YES;YES;-3860000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-00EPW9-BSTE;122.0000;IFRS;trading book;Level 2;N/A;0.0000
34678702;549300CKJMJ5BDKQ9N25;Legal Entity Identifier;GB;Simple Exotic (4.6);CURR|OPT|FLEX;GB;YES;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-9VBA-BDSD;11483.0000;IFRS;trading book;Level 2;N/A;712.8225
34758358;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;CapFloor (2.3);IRD|CF|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;PLN WIBOR 1M;N/A;1 month;N/A;-1212.0000;1992-1WBK-BSTE;1.0000;IFRS;trading book;Level 2;N/A;0.0000
35237141;PTCQB104N23FMNK2RZ28;Legal Entity Identifier;GB;Forward (4.4);CURR|FXD|SWLEG;ES;YES;YES;YES;YES;-733830000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-1AVB-BSTE;3100.0000;IFRS;trading book;Level 2;N/A;0.0000
36099075;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;PLNWIBOR3M;N/A;3 month;0.0000;1992-1WBK-BSTE;973919.0000;IFRS;trading book;Level 2;N/A;0.0000
36689254;2138006XK2FFFY53L343;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;-20090249.0195;GBP;11111111111.0000;N/A;N/A;N/A;N/A;GBP CALL M COMP;N/A;1 month;0.0000;2002-HBLE-BSTE;74561.0000;IFRS;trading book;Level 2;N/A;1376.2402
36690130;2138006XK2FFFY53L343;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;-20090249.0195;GBP;11111111111.0000;N/A;N/A;N/A;N/A;GBP CALL M COMP;N/A;1 month;0.0000;2002-HBLE-BSTE;308625.0000;IFRS;trading book;Level 2;N/A;26094.6733
36814323;5QK37QC7NWOJ8D7WVQ45;Legal Entity Identifier;ES;Forward (4.4);CURR|FXD|FXD;ES;YES;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-5IB1-BSTE;402853.0000;IFRS;trading book;Level 2;N/A;154530.8379
36898906;549300TTCXZOGZM2EY83;Legal Entity Identifier;ES;Forward (4.4);CURR|FXD|FXD;ES;YES;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-5ITX-BSTE;37811.0000;IFRS;trading book;Level 2;N/A;2413.3301
36916538;T33OE4AS4QXXS2TT7X50;Legal Entity Identifier;US;Single Name (1.1);CRD|CDS|;ES;YES;NO;NO;YES;-14574358.0589;USD;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;ISDA-W6FE-BSTE;131112.0000;IFRS;trading book;Level 2;N/A;290.2534
36916568;T33OE4AS4QXXS2TT7X50;Legal Entity Identifier;US;Single Name (1.1);CRD|CDS|;ES;YES;NO;NO;YES;-14574358.0589;USD;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;ISDA-W6FE-BSTE;119921.0000;IFRS;trading book;Level 2;N/A;269.0978
37160007;PTCQB104N23FMNK2RZ28;Legal Entity Identifier;GB;Forward (4.4);CURR|FXD|FXD;ES;YES;YES;YES;YES;-733830000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-1AVB-BSTE;615.0000;IFRS;trading book;Level 2;N/A;0.0000
37346808;HQ6XF7UI1QMJFYISFT58;Legal Entity Identifier;US;Forward (4.4);CURR|FXD|FXD;ES;YES;NO;NO;YES;11111111111.0000;N/A;164420000.0000;EUR;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-DBFF-BSTE;1855303.0000;IFRS;trading book;Level 2;N/A;3104.3340
37362979;959800E8113WYQNUH655;Legal Entity Identifier;ES;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR12M;N/A;1 year;N/A;-2248.0000;CMOF-WVUF-BSTE;1577.0000;IFRS;trading book;Level 2;N/A;418.5955
37436834;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;MISS;MISS;GB;YES;NO;NO;YES;-231220467.2305;USD;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;99999999999.0000;ISDA-LUTD-MAD;-659725.0000;IFRS;trading book;Level 2;N/A;0.0052
37480803;549300ZK53CNGEEI6A29;Legal Entity Identifier;DE;Single Name (1.1);CRD|CDS|;ES;YES;YES;YES;YES;-111130000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-CMBF-BSTE;78059.0000;IFRS;trading book;Level 2;N/A;704.2144
37758686;42860142X;Other identifier type;MISS;CapFloor (2.3);IRD|CF|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;EURIBOR6M;N/A;6 month;N/A;0.0000;37758686;-237.0000;IFRS;trading book;Level 2;N/A;0.0000
37835362;549300FH0WJAPEHTIQ77;Legal Entity Identifier;FR;Forward (4.4);CURR|FXD|FXD;ES;YES;YES;YES;YES;-68980000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-BSES12-BSTE;1344704.0000;IFRS;Non-trading book;Level 2;MISS;5610.8838
37939074;549300AX1UM10U30HK09;Legal Entity Identifier;CN;Forward (4.4);CURR|FXD|SWLEG;CN;YES;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;NAFM-BCOH-BSTE;62049.0000;IFRS;trading book;Level 2;N/A;0.0000
38028702;R0MUWSFPU8MPRO8K5P83;Legal Entity Identifier;US;Forward (4.4);CURR|FXD|SWLEG;ES;YES;YES;YES;YES;11111111111.0000;N/A;225690000.0000;EUR;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-PBFP-BSTE;699508.0000;IFRS;trading book;Level 2;N/A;1014.0666
38236673;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;CapFloor (2.3);IRD|CF|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;PLNWIBOR3M;N/A;1 month;N/A;-3323.0800;1992-1WBK-BSTE;62.0000;IFRS;trading book;Level 2;N/A;0.0000
38466545;1FOLRR5RWTWWI397R131;Legal Entity Identifier;SE;Cross Currency (2.4);IRD|CS|;ES;YES;YES;YES;YES;-22435382.5072;USD;11111111111.0000;N/A;0.0000|0.0000|317465.8130|317465.8130|0.0000|0.0000;0.0000|83757.1899|251271.5697|251271.5697|0.0000|0.0000;USD SOFR 3M FLBCK;N/A;3 month;N/A;0.0000;1992-SVEX-BSTE;216070.0000;IFRS;trading book;Level 2;N/A;38.9600
38467671;L3I9ZG2KFGXZ61BMYR72;Legal Entity Identifier;US;Cross Currency (2.4);IRD|CS|;GB;YES;YES;YES;YES;-53220000.0000;EUR;11111111111.0000;N/A;N/A;0.0000|-633715.8245|-133607.9305|-572461.3278|-408261.7491|0.0000;EURIBOR3M;USD SOFR 3M FLBCK;3 month;3 month;0.0000;1992-BNST-BSTE;322942.0000;IFRS;trading book;Level 2;N/A;2680.5321
38471097;3YJP8HORPAEXJ80D6368;Legal Entity Identifier;CL;Cross Currency (2.4);IRD|CS|;ES;YES;NO;NO;YES;11111111111.0000;N/A;750668619.7609;USD;N/A;N/A;N/A;USD SOFR 6M FLBCK;N/A;6 month;0.0000;1992-BSCH-BSTE;2158292.0000;IFRS;trading book;Level 2;N/A;0.0000
38471888;7H6GLXDRUGQFU57RNE97;Legal Entity Identifier;US;IR Swap (2.1);IRD|IRS|;ES;YES;YES;YES;YES;-206142192.0700;EUR;11111111111.0000;N/A;N/A;N/A;N/A;USD SOFR 3M FLBCK;N/A;3 month;0.0000;1992-CMFX-BECM;2586328.0000;IFRS;trading book;Level 2;N/A;1642.3734
38479340;549300D1H731B30TSI43;Legal Entity Identifier;LU;IR Swap (2.1);IRD|IRS|;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;USD SOFR 6M FLBCK;N/A;6 month;0.0000;38479340;877126.0000;IFRS;trading book;Level 2;N/A;0.0000
38634139;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;CapFloor (2.3);IRD|CF|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;PLN WIBOR 1M;N/A;1 month;N/A;-2200.0000;1992-1WBK-BSTE;62.0000;IFRS;trading book;Level 2;N/A;0.0000
38637140;A50034123;Other identifier type;MISS;Forward (4.4);CURR|FXD|SWLEG;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;38637140;36926.0000;IFRS;trading book;Level 2;N/A;1141.0900
38722064;300300C1031031001330;Legal Entity Identifier;HK;MISS;MISS;ES;YES;NO;NO;YES;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;99999999999.0000;2002-SPDB-BSTE;2654604.0000;IFRS;trading book;Level 2;N/A;0.0000
38794039;30030004CM3GSZXX7O56;Legal Entity Identifier;TW;Forward (4.4);CURR|FXD|FXD;HK;YES;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-HHP6-BSTE;1454025.0000;IFRS;trading book;Level 2;N/A;424522.4839
39007267;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;Simple Exotic (4.6);CURR|OPT|FLEX;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-1WBK-BSTE;293.0000;IFRS;trading book;Level 2;N/A;0.0000
39061687;EOSCVWUER252U910GR08;Legal Entity Identifier;US;Forward (4.4);CURR|FXD|SWLEG;ES;YES;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;2002-SXJY-BSTE;12899.0000;IFRS;trading book;Level 2;N/A;1501.2925
39117051;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;Forward (4.4);CURR|FXD|SWLEG;ES;YES;YES;YES;YES;-592524689.3163;USD;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-BMSY-BSTE;2023.0000;IFRS;trading book;Level 2;N/A;0.0000
39135455;K8MS7FD7N5Z2WQ51AZ71;Legal Entity Identifier;US;MISS;MISS;ES;YES;YES;YES;YES;11111111111.0000;N/A;7480000.0000;EUR;N/A;N/A;N/A;N/A;N/A;N/A;99999999999.0000;1992-BBVD-BSTE;4755207.0000;IFRS;trading book;Level 2;N/A;1354.3640
39549194;549300YEC7519H8CBF72;Legal Entity Identifier;BE;Forward (4.4);CURR|FXD|FXD;ES;YES;NO;NO;YES;-181448754.9024;USD;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-JICA-BSTE;160037.0000;IFRS;trading book;Level 2;N/A;86874.4062
39681189;39455909F;Other identifier type;MISS;Forward (4.4);CURR|FXD|SWLEG;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;39681189;5181.0000;IFRS;trading book;Level 2;N/A;325.6413
39687192;34442376Z;Other identifier type;MISS;Forward (4.4);CURR|FXD|SWLEG;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;39687192;10363.0000;IFRS;trading book;Level 2;N/A;854.8727
39737594;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;Forward (4.4);CURR|FXD|SWLEG;ES;YES;YES;YES;YES;-592524689.3163;USD;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-BMSY-BSTE;4647.0000;IFRS;trading book;Level 2;N/A;0.0000
