financial_contract_id;isin;issuer_id;type_issuer_id;country_issuer;issuer_esa_2010;issuer_nace_sector;issuer_ratings;issuer_ratings_sources;type_issuer;currency_value;val_timestamp;val_type;dividend_yield;part_lcr_buffer;accounting_classification;prudential_portfolio;total_risk_exposure_amount
004954924866667859;000000000000;B04860672;Other identifier type;ES;Non-financial corporations;Research and experimental development on biotechnology;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004969334866667454;000000000000;$04042000;Other identifier type;UY;MISS;MISS;MISS;N/A;Other group entity;UYU;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;225225734.000000
004969334866667835;000000000000;$00000399;Other identifier type;AR;MISS;MISS;MISS;N/A;Other group entity;ARS;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;7194576.000000
004969334866667905;000000000000;402523073;Other identifier type;CH;MISS;MISS;MISS;N/A;Third party;CHF;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004969444866667418;000000000000;B87063566;Other identifier type;ES;Captive financial institutions and money lenders;Activities of holding companies;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;4107.000000
004969354866667194;000000000000;213800OWBLTJXPAH9I52;Legal Entity Identifier;GB;MISS;Legal activities;MISS;N/A;Other group entity;GBP;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;0.000000
004954924866666583;000000000000;959800ZRWR9VGA7YAF63;Legal Entity Identifier;ES;Captive financial institutions and money lenders;Activities of holding companies;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;12963993.400000
004954924866667333;000000000000;L55485340;Other identifier type;NL;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004969334860200821;000000000000;$00368000;Other identifier type;CH;MISS;MISS;MISS;N/A;Other group entity;CHF;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;1134108697.966000
004954924866667273;000000000000;A91069039;Other identifier type;ES;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004954924866666425;000000000000;B80855398;Other identifier type;ES;Non-financial corporations;Other personal service activities n.e.c.;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;1873138.312000
004954924866666426;000000000000;B80855398;Other identifier type;ES;Non-financial corporations;Other personal service activities n.e.c.;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;350.342000
004954924866667770;000000000000;959800VCWDJ1NGADZZ47;Legal Entity Identifier;ES;Captive financial institutions and money lenders;Activities of holding companies;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;1360934592.000000
004954924866667762;000000000000;959800BKQE4XQF17N767;Legal Entity Identifier;ES;Other financial intermediaries except financial auxiliaries, captive financial institutions and money lenders, insurance corporations, pension funds and financial vehicle corporations engaged in securitisation transactions;Trusts, funds and similar financial entities;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;3707259363.000000
004969444866667542;000000000000;$01286000;Other identifier type;IE;MISS;MISS;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;99999999999.000000
004954924866667793;000000000000;B02851236;Other identifier type;ES;Non-financial corporations;Activities of holding companies;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;0.000000
004954924866667805;000000000000;$00004192;Other identifier type;GB;MISS;MISS;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;9215072.000000
004954924866667423;000000000000;959800SD4D9MCPT20R31;Legal Entity Identifier;ES;Financial auxilliaries;Security and commodity contracts brokerage;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;1997254.881000
004954924866667622;000000000000;A81437022;Other identifier type;ES;Non-financial corporations;Other business support service activities n.e.c.;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;6020270.000000
004969444866667533;000000000000;011450018;Other identifier type;CH;MISS;Trusts, funds and similar financial entities;MISS;N/A;Other group entity;CHF;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;108793875.000000
004954924866667616;000000000000;B86828845;Other identifier type;ES;Financial auxilliaries;Other activities auxiliary to financial services, except insurance and pension funding;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;99999999999.000000
004954924866667893;000000000000;959800XXL05482J30B96;Legal Entity Identifier;ES;Non-MMF Investment funds;Trusts, funds and similar financial entities;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004954924866667643;000000000000;B87332706;Other identifier type;ES;Non-financial corporations;Beverage serving activities;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;6679166.000000
004954924866667417;000000000000;549300FK7QD3W9P5XC11;Legal Entity Identifier;LU;MISS;Activities of holding companies;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004954924866667450;000000000000;$02383000;Other identifier type;GB;MISS;MISS;MISS;N/A;Other group entity;GBP;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;0.000000
004954924866667783;000000000000;012553544;Other identifier type;GB;MISS;Activities of holding companies;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;108928.000000
004954924866666569;000000000000;959800H1RHMMQY9C0N54;Legal Entity Identifier;ES;Financial auxilliaries;Administration of financial markets;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004954924866667908;000000000000;V56226095;Other identifier type;ES;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004954924866667909;000000000000;V56226095;Other identifier type;ES;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004954924866667910;000000000000;V56226095;Other identifier type;ES;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004969334866667075;000000000000;760022634;Other identifier type;CL;MISS;MISS;MISS;N/A;Other group entity;CLP;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;41899533.460000
004954924866667675;000000000000;B99005001;Other identifier type;ES;Non-financial corporations;Construction of residential buildings;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;88301.457000
004954924866667869;000000000000;B88049424;Other identifier type;ES;MISS;MISS;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;49037321.000000
004954924866667435;000000000000;959800UXR0E13GL33914;Legal Entity Identifier;ES;Financial auxilliaries;Other activities auxiliary to financial services, except insurance and pension funding;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;3357306.901000
004954924869990572;000000000000;959800T6G4SVQR5QA881;Legal Entity Identifier;ES;Non-financial corporations;Buying and selling of own real estate;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;0.000000
004954924866667357;000000000000;B86884103;Other identifier type;ES;Financial auxilliaries;Other financial service activities, except insurance and pension funding n.e.c.;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;2779773.000000
004954924866667538;000000000000;A28172542;Other identifier type;ES;Financial auxilliaries;Activities of insurance agents and brokers;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;65143125.000000
004954924866667434;000000000000;959800TL6B5V286CRZ60;Legal Entity Identifier;ES;Captive financial institutions and money lenders;Other financial service activities, except insurance and pension funding n.e.c.;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;1277064314.000000
004954924866667672;000000000000;A28077964;Other identifier type;ES;Non-financial corporations;Other professional, scientific and technical activities n.e.c.;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;10193.500000
004969444866667900;000000000000;B44941557;Other identifier type;ES;Financial auxilliaries;Activities of holding companies;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;99999999999.000000
004954924866667698;000000000000;959800LPAMF4HCQEHF71;Legal Entity Identifier;ES;Financial auxilliaries;Other activities auxiliary to financial services, except insurance and pension funding;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;56603.337000
004969444866667292;000000000000;549300EBI9IZCEJIF589;Legal Entity Identifier;IE;MISS;Other financial service activities, except insurance and pension funding n.e.c.;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;1052688.539000
004969444866666946;000000000000;95980020140005847337;Legal Entity Identifier;ES;Captive financial institutions and money lenders;Other financial service activities, except insurance and pension funding n.e.c.;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;689586155.200000
004969334865552530;000000000000;966715901;Other identifier type;CL;MISS;Other professional, scientific and technical activities n.e.c.;MISS;N/A;Other group entity;CLP;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;2560372306.000000
004954924866667775;000000000000;959800PUUCZDETNLX677;Legal Entity Identifier;ES;Other financial intermediaries except financial auxiliaries, captive financial institutions and money lenders, insurance corporations, pension funds and financial vehicle corporations engaged in securitisation transactions;Other financial service activities, except insurance and pension funding n.e.c.;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;304760419.700000
004954924866667267;000000000000;959800L4UFKKPDBGHU18;Legal Entity Identifier;ES;Non-financial corporations;production of mineral waters and other bottled waters;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004954924866667187;000000000000;959800QEKJV14SGDUT89;Legal Entity Identifier;ES;Financial auxilliaries;Security and commodity contracts brokerage;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;735692.613000
004954924866667421;000000000000;B87098356;Other identifier type;ES;Non-financial corporations;Service activities incidental to water transportation;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;77979609.000000
004954924866667552;000000000000;B87763694;Other identifier type;ES;Non-financial corporations;Rental and leasing of water transport equipment;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;14189130.000000
004954924866667883;000000000000;959800ZAFMS5BLXKPY76;Legal Entity Identifier;ES;Non-financial corporations;Hotels and similar accommodation;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004969334866667069;000000000000;$01211000;Other identifier type;MX;MISS;MISS;MISS;N/A;Other group entity;MXN;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;16032692.000000
004954924866667666;000000000000;B85601201;Other identifier type;ES;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004954924866667567;000000000000;959800FXM7768JDYX691;Legal Entity Identifier;ES;Non-financial corporations;Real estate agencies;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;15490938.000000
004969334869990207;000000000000;95980020140005561963;Legal Entity Identifier;ES;Captive financial institutions and money lenders;Activities of holding companies;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;12018086930.000000
004969444866667588;000000000000;000621543;Other identifier type;IE;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004954924866667695;000000000000;959800UN8NUNN51F4Z17;Legal Entity Identifier;ES;Non-financial corporations;Development of building projects;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004954924866667655;000000000000;A09033119;Other identifier type;ES;Other financial intermediaries except financial auxiliaries, captive financial institutions and money lenders, insurance corporations, pension funds and financial vehicle corporations engaged in securitisation transactions;Fund management activities;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;376996.700000
004969334866666952;000000000000;215232950;Other identifier type;UY;MISS;MISS;MISS;N/A;Other group entity;USD;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;175047.000000
004954924866667911;000000000000;00B268046;Other identifier type;LU;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004954924866667813;000000000000;00B252600;Other identifier type;LU;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004954924866667814;000000000000;00B252600;Other identifier type;LU;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004954924866667713;000000000000;959800K5PD9GB1EHW234;Legal Entity Identifier;ES;Captive financial institutions and money lenders;Activities of holding companies;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;875507727.000000
004954924866667358;000000000000;B86884186;Other identifier type;ES;Financial auxilliaries;Other financial service activities, except insurance and pension funding n.e.c.;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;2860840.000000
004954924866667700;000000000000;A15018831;Other identifier type;ES;State government;General public administration activities;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;5891517.400000
004969444866666832;000000000000;$01119000;Other identifier type;IE;MISS;MISS;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;99999999999.000000
004954924866667124;000000000000;959800CDN1LGGH5SDU13;Legal Entity Identifier;ES;Non-financial corporations;Activities of holding companies;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004969334866666041;000000000000;549300N3BVS5NLS5F697;Legal Entity Identifier;ES;Other financial intermediaries except financial auxiliaries, captive financial institutions and money lenders, insurance corporations, pension funds and financial vehicle corporations engaged in securitisation transactions;Other financial service activities, except insurance and pension funding n.e.c.;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;0.000000
004954924866667422;000000000000;9598003YBNYGBZWSXR28;Legal Entity Identifier;ES;Financial auxilliaries;Other activities auxiliary to financial services, except insurance and pension funding;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;4173793.218000
004954924866667683;000000000000;A20886198;Other identifier type;ES;Non-financial corporations;Other professional, scientific and technical activities n.e.c.;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;4437069.600000
004954924866667662;000000000000;A21110986;Other identifier type;ES;Non-financial corporations;Business and other management consultancy activities;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004969444865552706;000000000000;0007563OE;Other identifier type;LU;MISS;Activities of extraterritorial organisations and bodies;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004969334866667113;000000000000;95980020140006024944;Legal Entity Identifier;ES;Credit institutions;Other monetary intermediation;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;1590241119.824000
004969334866667829;000000000000;AR0002114;Other identifier type;AR;Non-financial corporations;tax consultancy;MISS;N/A;Other group entity;ARS;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;306027.000000
004969444866667541;000000000000;$01285000;Other identifier type;IE;MISS;MISS;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;99999999999.000000
004969334866666933;000000000000;B84868124;Other identifier type;ES;Non-financial corporations;tax consultancy;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;3699630.000000
004954924866667816;000000000000;001750259;Other identifier type;US;Non-financial corporations;Manufacture of electric motors, generators and transformers;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;99999999999.000000
004954924866667476;000000000000;B87489472;Other identifier type;ES;Non-financial corporations;Service activities incidental to air transportation;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;0.000000
004969444866667615;000000000000;000464800;Other identifier type;PT;MISS;Management of real estate on a fee or contract basis;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;0.000000
004954924866667211;000000000000;959800WHQAMZX0KLDW04;Legal Entity Identifier;ES;Non-financial corporations;Passenger air transport;MISS;N/A;Other group entity;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;20361655.000000
004954924866667431;000000000000;9598001U7YCBCHFDEM21;Legal Entity Identifier;ES;Financial auxilliaries;Other activities auxiliary to financial services, except insurance and pension funding;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;368732.784000
004954924866667694;000000000000;A11012077;Other identifier type;ES;Non-financial corporations;Rental and operating of own or leased real estate;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;1931.400000
004954924866666690;000000000000;G63201032;Other identifier type;ES;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;MISS;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004969334866667795;000000000000;000216278;Other identifier type;PE;MISS;MISS;MISS;N/A;Other group entity;PEN;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;70689684.000000
004969354866667347;000000000000;008700698;Other identifier type;GB;MISS;MISS;MISS;N/A;Other group entity;GBP;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;11766518779.359000
