0010_row_nmbr;0011_tab_origin;0020_uniq_id_knwn_cntrprty;0030_cntrprty_rsltn_grp;0040_cntrprty_nm;0050_cntrprty_lei;0060_typ_cntrprty_id;0070_cntrprty_id;0080_cntrprty_typ;0090_cntry_cntrprty;0100_rlvnt_amnt_wdc;ckutulmo;htimest;ref_date;cod_visao
38;B0500;31000318636603097000000000000000P_0000_00000000000_000008000176024;"";"";"";LEI;8000176024;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
39;B0500;31000318637213097000000000000000P_0000_00000000000_000008000176024;"";"";"";LEI;8000176024;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
40;B0500;31000322311418096000000000000000P_0000_00000000000_000000000003686;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
41;B0500;89000020240000766001520240649818P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
42;B0500;89000020240000766001520240649824P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
43;B0500;89000020240000766001520240649825P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
44;B0500;89000020240000766001520240649826P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
45;B0500;89000020240000766001520240649827P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
46;B0500;89000020240000766001520240649838P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
47;B0500;89000020240000766001520240649839P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
48;B0500;89000020240000766001520240649873P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
49;B0500;89000020240000766001520240649874P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
50;B0500;89000020240000766001520240649875P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
51;B0500;89000020240000766001520240649894P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
52;B0500;89000020240000766001520240649898P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
53;B0500;89000020240000766001520240649899P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
54;B0500;89000020240000766001520240649900P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
55;B0500;89000020240000766001520240649901P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
56;B0500;89000020240000766001520240649909P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
57;B0500;89000020240000766001520240649910P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
58;B0500;89000020240000766001520240649911P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
59;B0500;89000020240000766001520240649912P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
60;B0500;89000020240000766001520240649913P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
61;B0500;89000020240000766001520240649914P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
62;B0500;89000020240000766001520240649915P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
63;B0500;89000020240000766001520240649916P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
64;B0500;89000020240000766001520240649917P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
65;B0500;89000020240000766001520240649918P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
66;B0500;89000020240000766001520240649919P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
67;B0500;89000020240000766001520240649920P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
68;B0500;89000020240000766001520240649921P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
69;B0500;89000020240000766001520240649942P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
