asset_id;intangible_asset_class;acquisition_capitalisation_date;initial_fair_value;cumulative_amortisation;impairment_amount;current_carrying_amount;Currency;original_accounting_life;remaining_economic_life;approach_det_carrying_amount;val_timestamp;internal_external_latest_val
221500001984;Unpatented software and technology;01/01/2019;50 774,91;-50 774,91;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001986;Unpatented software and technology;01/01/2019;8 817,36;-8 817,36;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002049;Unpatented software and technology;01/01/2019;10 085,52;-10 085,52;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001990;Unpatented software and technology;01/01/2019;15 412,32;-15 412,32;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001993;Unpatented software and technology;01/01/2019;18 051,64;-18 051,64;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001982;Unpatented software and technology;01/01/2019;343,50;-343,50;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001998;Unpatented software and technology;01/01/2019;25 559,26;-25 559,26;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001988;Unpatented software and technology;01/01/2019;9 440,94;-9 440,94;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002001;Unpatented software and technology;01/01/2019;56 753,26;-56 753,26;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002002;Unpatented software and technology;01/01/2019;114 091,34;-114 091,34;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002003;Unpatented software and technology;01/01/2019;35 336,50;-35 336,50;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002017;Unpatented software and technology;01/01/2019;30 068,92;-30 068,92;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002011;Unpatented software and technology;01/01/2019;8 773,20;-8 773,20;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002013;Unpatented software and technology;01/01/2019;12 896,06;-12 896,06;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001997;Unpatented software and technology;01/01/2019;142 539,99;-142 539,99;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002023;Unpatented software and technology;01/01/2019;2 534,48;-2 534,48;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001978;Unpatented software and technology;01/01/2019;33 389,34;-33 389,34;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001977;Unpatented software and technology;01/01/2019;32 548,57;-32 548,57;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001975;Unpatented software and technology;01/01/2019;22 371,66;-22 371,66;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001973;Unpatented software and technology;01/01/2019;5 315,69;-5 315,69;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001971;Unpatented software and technology;01/01/2019;12 023,56;-12 023,56;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002043;Unpatented software and technology;01/01/2019;5 088,46;-5 088,46;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002021;Unpatented software and technology;01/01/2019;25 233,31;-25 233,31;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002031;Unpatented software and technology;01/01/2019;2 573,47;-2 573,47;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002034;Unpatented software and technology;01/01/2019;69 684,80;-69 684,80;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002039;Unpatented software and technology;01/01/2019;5 784,02;-5 784,02;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002029;Unpatented software and technology;01/01/2019;65 165,38;-65 165,38;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001980;Unpatented software and technology;01/01/2019;32 460,84;-32 460,84;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002048;Unpatented software and technology;01/01/2019;59 794,23;-59 794,23;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001992;Unpatented software and technology;01/01/2019;32 999,53;-32 999,53;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001491;Unpatented software and technology;01/02/2019;1 114,23;-1 114,23;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001496;Unpatented software and technology;01/02/2019;5 581,33;-5 581,33;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001499;Unpatented software and technology;01/02/2019;18 838,51;-18 838,51;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001492;Unpatented software and technology;01/02/2019;3 771,87;-3 771,87;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002369;Unpatented software and technology;01/02/2019;560,31;-560,31;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002100;Unpatented software and technology;01/02/2019;3 012,69;-3 012,69;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002397;Unpatented software and technology;01/02/2019;653 284,56;-653 284,56;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
